HoldingName,WeightPct,AsOf
2026-11-20 State Street® SPDR® S&P 500® ETF Trust C 6.55,102.53,2026-09-18
2026-11-20 State Street® SPDR® S&P 500® ETF Trust P 658.99,0.3,2026-09-18
2026-11-20 State Street® SPDR® S&P 500® ETF Trust P 593.09,-0.13,2026-09-18
2026-11-20 State Street® SPDR® S&P 500® ETF Trust C 768.32,-2.19,2026-09-18
