HoldingName,WeightPct,AsOf
"First Trust Vest U.S. Equity Buffer ETF - November, Class F (Hedged), CAN",25.03,2026-09-18
"First Trust Vest U.S. Equity Buffer ETF - February, Class F (Hedged), CAN",25.02,2026-09-18
"First Trust Vest U.S. Equity Buffer ETF - August, Class F (Hedged), CAN",24.97,2026-09-18
"First Trust Vest U.S. Equity Buffer ETF - May, Class F (Hedged), CAN",24.93,2026-09-18
