HoldingName,WeightPct,AsOf
2027-02-19 State Street® SPDR® S&P 500® ETF Trust C 6.85,102.23,2026-09-18
2027-02-19 State Street® SPDR® S&P 500® ETF Trust P 689.39,1.29,2026-09-18
2027-02-19 State Street® SPDR® S&P 500® ETF Trust P 620.45,-0.64,2026-09-18
2027-02-19 State Street® SPDR® S&P 500® ETF Trust C 793.22,-2.52,2026-09-18
