HoldingName,WeightPct,AsOf
2027-05-21 State Street® SPDR® S&P 500® ETF Trust C 7.35,99.41,2026-09-18
2027-05-21 State Street® SPDR® S&P 500® ETF Trust P 739.13,3.19,2026-09-18
2027-05-21 State Street® SPDR® S&P 500® ETF Trust C 866.56,-0.98,2026-09-18
2027-05-21 State Street® SPDR® S&P 500® ETF Trust P 665.21,-1.59,2026-09-18
