HoldingName,WeightPct,AsOf
2027-08-20 State Street® SPDR® S&P 500® ETF Trust C 7.62,98.84,2026-09-18
2027-08-20 State Street® SPDR® S&P 500® ETF Trust P 765.68,4.85,2026-09-18
2027-08-20 State Street® SPDR® S&P 500® ETF Trust C 893.71,-1.23,2026-09-18
2027-08-20 State Street® SPDR® S&P 500® ETF Trust P 689.11,-2.59,2026-09-18
