base_ticker,classes,class_tickers,description,provider
HBTE,1,HBTE,Harvest Bitcoin Leaders Enhanced Income ETF,Harvest
HHIC,1,HHIC,Harvest Canadian High Income Shares ETF,Harvest
HHIH,1,HHIH,Harvest High Income Equity Shares ETF,Harvest
HHII,1,HHII,Harvest International High Income Shares ETF,Harvest
HHIS,2,"HHIS,HHIS.U",Harvest Diversified High Income Shares ETF,Harvest
HIND,1,HIND,Harvest Industrial Leaders Income ETF,Harvest
HODY,1,HODY,Harvest Robinhood Enhanced High Income Shares ETF,Harvest
HPYB,1,HPYB,Harvest Premium Yield Canadian Bank ETF,Harvest
HPYE,1,HPYE,Harvest Premium Yield Enhanced ETF,Harvest
HPYG,1,HPYG,Harvest Premium Yield Gold ETF,Harvest
HVOI,1,HVOI,Harvest Low Volatility Canadian Equity Income ETF,Harvest
HVOL,1,HVOL,Harvest Low Volatility Canadian Equity ETF,Harvest
JNJY,1,JNJY,Harvest JnJ Enhanced High Income Shares ETF,Harvest
JPHE,1,JPHE,Harvest JPHE Enhanced High Income Shares ETF,Harvest
LLHE,2,"LLHE,LLHE.U",Harvest Eli Lilly Enhanced High Income Shares ETF,Harvest
LLYH,2,"LLYH,LLYH.U",Harvest Eli Lilly High Income Shares ETF,Harvest
METE,1,METE,Harvest Meta Enhanced High Income Shares ETF,Harvest
MSFH,2,"MSFH,MSFH.U",Harvest Microsoft High Income Shares ETF,Harvest
MSHE,2,"MSHE,MSHE.U",Harvest Microsoft Enhanced High Income Shares ETF,Harvest
MSTE,1,MSTE,Harvest Strategy Inc. Enhanced High Income Shares ETF,Harvest
MSTY,1,MSTY,Harvest Strategy Inc. High Income Shares ETF,Harvest
NFLY,1,NFLY,Harvest Netflix Enhanced High Income Shares ETF,Harvest
NOVY,1,NOVY,Harvest Novo Enhanced High Income Shares ETF,Harvest
NVDH,2,"NVDH,NVDH.U",Harvest NVIDIA High Income Shares ETF,Harvest
NVHE,2,"NVHE,NVHE.U",Harvest NVIDIA Enhanced High Income Shares ETF,Harvest
ORCY,1,ORCY,Harvest Oracle Enhanced High Income Shares ETF,Harvest
PLTE,1,PLTE,Harvest Palantir Enhanced High Income Shares ETF,Harvest
RDDY,1,RDDY,Harvest Reddit Enhanced High Income Shares ETF,Harvest
RYHE,1,RYHE,Harvest Enhanced High Income RY-Linked Shares ETF,Harvest
SHPE,1,SHPE,Harvest Shopify Enhanced High Income Shares ETF,Harvest
SOFY,1,SOFY,Harvest SoFi Enhanced High Income Shares ETF,Harvest
SPXE,1,SPXE,Harvest SpaceX Enhanced High Income Shares ETF,Harvest
SUHE,1,SUHE,Harvest Suncor Enhanced High Income Shares ETF,Harvest
TDHE,1,TDHE,Harvest Enhanced High Income TD-Linked Shares ETF,Harvest
TEHE,1,TEHE,Harvest TELUS Enhanced High Income Shares ETF,Harvest
TSLY,1,TSLY,Harvest Tesla Enhanced High Income Shares ETF,Harvest
IGAF,1,IGAF,IA Clarington Loomis Global Allocation Fund ETF,IA Clarington
IGEO,1,IGEO,IA Clarington Loomis Global Equity Opportunities Fund,IA Clarington
IIME,1,IIME,IA Clarington International Multifactor Equity Fund ETF,IA Clarington
IMFE,1,IMFE,IA Clarington Global Multifactor Equity Fund ETF Series Units,IA Clarington
ITIN,1,ITIN,IA Clarington Thematic Innovation Class ETF Series,IA Clarington
EQLI,3,"EQLI,EQLI.F,EQLI.U",Invesco S&P 500 Equal Weight Income Advantage ETF (CA),Invesco
IESGC,1,IESGC,Invesco S&P/TSX Composite ESG Index ETF Class,Invesco
IQQQJ,1,IQQQJ,Invesco NASDAQ Next Gen 100 Index ETF Fund,Invesco
IQQQM,1,IQQQM,Invesco NASDAQ 100 Index ETF Fund,Invesco
ITCD,1,ITCD,Invesco Canadian Plus Dividend Class,Invesco
ITCE,1,ITCE,Invesco Pure Canadian Equity Fund,Invesco
ITDY,1,ITDY,Invesco Diversified Yield Class,Invesco
ITEM,2,"ITEM,ITEM.U",Invesco Emerging Markets Class,Invesco
ITEP,2,"ITEP.U,ITEP",Invesco EQV European Equity Fund,Invesco
ITFE,1,ITFE,Invesco Global Select Equity Class,Invesco
ITGD,1,ITGD,Invesco Global Dividend Class,Invesco
ITGE,2,"ITGE.U,ITGE",Invesco Global Focus Class,Invesco
ITGO,1,ITGO,Invesco Global Balanced Class,Invesco
ITGS,2,"ITGS.U,ITGS",Invesco Global Opportunities Class,Invesco
ITIC,1,ITIC,Invesco International Companies Class,Invesco
ITOP,1,ITOP,Invesco Pure Canadian Equity Class,Invesco
ITTF,2,"ITTF,ITTF.U",Invesco Global Companies Fund,Invesco
ITUC,2,"ITUC,ITUC.U",Invesco U.S. Companies Class,Invesco
ITUS,2,"ITUS,ITUS.U",Invesco Main Street U.S. Small Cap Class,Invesco
IVCP,1,IVCP,Invesco EQV Canadian Premier Equity Class,Invesco
IVEG,2,"IVEG,IVEG.U",Invesco EQV European Equity Class,Invesco
IVESG,1,IVESG,Invesco S&P 500 ESG Index ETF Fund,Invesco
IVGBE,1,IVGBE,Invesco Global Balanced ESG ETF Fund,Invesco
IVGG,2,"IVGG,IVGG.U",Invesco Global Class,Invesco
IVGR,2,"IVGR,IVGR.U",Invesco Global Real Estate Fund,Invesco
IVGSB,1,IVGSB,Invesco Global Select Balanced Fund,Invesco
IVIG,2,"IVIG,IVIG.U",Invesco EQV International Equity Class,Invesco
IVIP,2,"IVIP,IVIP.U",Invesco Emerging Markets Fund,Invesco
QQCI,3,"QQCI,QQCI.U,QQCI.F",Invesco NASDAQ 100 Income Advantage ETF,Invesco
JAVA,1,JAVA,JPMorgan US Value Active ETF,JPMorgan
JCOR,1,JCOR,JPMorgan US Core Active ETF,JPMorgan
JEPH,1,JEPH,JPMorgan US Equity Premium Income Active (Hedged) ETF,JPMorgan
JEPI,1,JEPI,JPMorgan US Equity Premium Income Active ETF,JPMorgan
JEPQ,1,JEPQ,JPMorgan Nasdaq Equity Premium Income Active ETF,JPMorgan
JGLO,1,JGLO,JPMorgan Global Select Equity Active ETF (CA),JPMorgan
JGRO,1,JGRO,JPMorgan US Growth Active ETF,JPMorgan
JIDE,1,JIDE,JPMorgan International Developed Equity Active ETF,JPMorgan
JPQH,1,JPQH,JPMorgan Nasdaq Equity Premium Income Active (Hedged) ETF,JPMorgan
MLRG,1,MLRG,Madison US Large Cap ETF,Madison
MMID,1,MMID,Madison US Mid Cap ETF,Madison
MGEQ,1,MGEQ,Manulife Global Equity Class,Manulife
ASHR,1,ASHR,Mulvihill Split Capital Share ETF,Mulvihill
CBNK,1,CBNK,Mulvihill Canadian Bank Enhanced Yield ETF,Mulvihill
MBNK,1,MBNK,Mulvihill Canadian Bank ETF,Mulvihill
MPY,1,MPY,Mulvihill Premium Yield Fund - ETF,Mulvihill
NSDC,1,NSDC,NBI SmartData Canadian Equity Fund ETF Series Units,National Bank
COIL,1,COIL,All-Canadian Oil & Gas ETF,Other
TERP,1,TERP,TRU.X Exogenous Risk Pool ETF,Other
PFAA,1,PFAA,PICTON Multi-Strategy Alpha Alternative Fund ETF,Picton Mahoney
PFAE,1,PFAE,PICTON Long Short Equity (130/30) Alternative Fund ETF,Picton Mahoney
PFCO,1,PFCO,PICTON Credit Opportunities Alternative Fund ETF,Picton Mahoney
PFIA,1,PFIA,PICTON Long Short Income Alternative Fund ETF,Picton Mahoney
PFLS,1,PFLS,PICTON Long Short Equity Alternative Fund ETF,Picton Mahoney
PFMN,1,PFMN,PICTON Market Neutral Equity Alternative Fund ETF,Picton Mahoney
PFMS,1,PFMS,PICTON Multi-Strategy Alternative Fund ETF,Picton Mahoney
APLY,1,APLY,Apple (AAPL) Yield Shares Purpose ETF,Purpose
ATDY,1,ATDY,Purpose Couche-Tard (ATD) Yield Shares ETF,Purpose
BNSY,1,BNSY,Purpose Scotiabank (BNS) Yield Shares ETF,Purpose
BNY,1,BNY,Purpose Brookfield (BN) Yield Shares ETF,Purpose
BRKY,1,BRKY,Berkshire Hathaway (BRK) Yield Shares Purpose ETF,Purpose
BTCO,2,"BTCO.B,BTCO.U",Purpose Core Bitcoin ETF,Purpose
BTCY,3,"BTCY,BTCY.B,BTCY.U",Purpose Bitcoin Yield ETF,Purpose
CNQY,1,CNQY,Purpose Canadian Natural Resources (CNQ) Yield Shares ETF,Purpose
CROC,1,CROC,Purpose Credit Opportunities Class ETF,Purpose
CROP,2,"CROP,CROP.U",Purpose Credit Opportunities Fund,Purpose
DOLY,1,DOLY,Purpose Dollarama (DOL) Yield Shares ETF,Purpose
ENBY,1,ENBY,Purpose Enbridge (ENB) Yield Shares ETF,Purpose
ETHH,3,"ETHH.B,ETHH,ETHH.U",Purpose Ether ETF,Purpose
ETHO,2,"ETHO.B,ETHO.U",Purpose Core Ether ETF,Purpose
ETHY,3,"ETHY,ETHY.B,ETHY.U",Purpose Ether Yield ETF,Purpose
FLX,3,"FLX,FLX.U,FLX.B",Purpose Global Flexible Credit Fund,Purpose
JPYS,1,JPYS,Yield Shares (JPYS) Purpose ETF,Purpose
MSFY,1,MSFY,Microsoft (MSFT) Yield Shares Purpose ETF,Purpose
PABF,1,PABF,Purpose Active Balanced Fund,Purpose
PACF,1,PACF,Purpose Active Conservative Fund,Purpose
PAGF,1,PAGF,Purpose Active Growth Fund,Purpose
PAYF,1,PAYF,Purpose Enhanced Premium Yield Fund ETF,Purpose
PGRX,1,PGRX,Purpose Global Resource Fund,Purpose
PSU,1,PSU.U,Purpose US Cash Fund,Purpose
RDE,1,RDE,Purpose Core Equity Income Fund,Purpose
REM,1,REM,Purpose Emerging Markets Dividend ETF,Purpose
RTA,1,RTA,Purpose Tactical Asset Allocation Fund,Purpose
RTT,1,RTT,Purpose Tactical Thematic Fund,Purpose
SHPY,1,SHPY,Purpose Shopify (SHOP) Yield Shares ETF,Purpose
SOLL,3,"SOLL,SOLL.B,SOLL.U",Purpose Solana ETF,Purpose
SPXY,1,SPXY,Purpose SpaceX (SPCX) Yield Shares ETF,Purpose
TY,1,TY,Purpose Telus (T) Yield Shares ETF,Purpose
XRPP,3,"XRPP,XRPP.B,XRPP.U",Purpose XRP ETF,Purpose
YAMD,1,YAMD,AMD (AMD) Yield Shares Purpose ETF,Purpose
YAMZ,1,YAMZ,Amazon (AMZN) Yield Shares Purpose ETF,Purpose
YAVG,1,YAVG,Broadcom (AVGO) Yield Shares Purpose ETF,Purpose
YCON,1,YCON,Coinbase (COIN) Yield Shares Purpose ETF,Purpose
YCST,1,YCST,Costco (COST) Yield Shares Purpose ETF,Purpose
YGOG,1,YGOG,Alphabet (GOOGL) Yield Shares Purpose ETF,Purpose
YMAG,1,YMAG,Tech Innovators Yield Shares Purpose ETF,Purpose
YMET,1,YMET,META (META) Yield Shares Purpose ETF,Purpose
YNET,1,YNET,Netflix (NFLX) Yield Shares Purpose ETF,Purpose
YNVD,1,YNVD,NVIDIA (NVDA) Yield Shares Purpose ETF,Purpose
YPLT,1,YPLT,Palantir (PLTR) Yield Shares Purpose ETF,Purpose
YTSL,1,YTSL,Tesla (TSLA) Yield Shares Purpose ETF,Purpose
YUNH,1,YUNH,UnitedHealth Group (UNH) Yield Shares Purpose ETF,Purpose
RBCY,1,RBCY,Purpose RBC (RY) Yield Shares ETF,RBC
RCAN,1,RCAN,RBC Canadian Equity ETF,RBC
RCDL,1,RCDL,RBC Enhanced Quant Canadian Dividend Leaders Fund,RBC
RCEI,1,RCEI,RBC Canadian Equity Income Fund,RBC
REMD,1,REMD,RBC Emerging Markets Dividend Fund,RBC
RENG,1,RENG,RBC Global Energy Fund,RBC
RGLE,1,RGLE,RBC Global Large-Cap Equity Fund,RBC
RGPM,1,RGPM,RBC Global Precious Metals Fund,RBC
RINT,1,RINT,RBC International Equity Fund,RBC
RLST,1,RLST,RBC Life Science and Technology Fund,RBC
RNAG,1,RNAG,RBC North American Growth Fund,RBC
RNAV,1,RNAV,RBC North American Value Fund,RBC
RNVL,1,RNVL,RBC Enhanced North American Value Fund,RBC
RTEC,1,RTEC,RBC Global Technology Fund,RBC
RUDL,1,RUDL,RBC Enhanced Quant U.S. Dividend Leaders Fund,RBC
RUMG,1,RUMG,RBC U.S. Mid-Cap Growth Equity Fund,RBC
RUSA,2,"RUSA,RUSA.U",RBC U.S. Large-Cap Equity ETF,RBC
RKLC,1,RKLC,Rocklinc Principled Equity ETF,Rocklinc
HALO,1,HALO,Russell Investments Fallen Angels ETF,Russell
RIGE,1,RIGE,Russell Investments Global Equity Pool ETF,Russell
RIIN,1,RIIN,Russell Investments Global Infrastructure Pool ETF,Russell
RIRA,1,RIRA,Russell Investments Real Assets ETF,Russell
RQCA,1,RQCA,Russell Investments Multi-Factor Canadian Equity Pool ETF,Russell
RQIN,1,RQIN,Russell Investments Multi-Factor International Equity Pool ETF,Russell
RQUS,1,RQUS,Russell Investments Multi-Factor US Equity Pool ETF,Russell
SRSL,1,SRSL,BetaPro -3x Russell 2000 Daily Leveraged Bear Alternative ETF,Russell
TRSL,1,TRSL,BetaPro 3x Russell 2000 Daily Leveraged Bull Alternative ETF,Russell
SBLG,1,SBLG,SLGI MFS Blended Research Low Vol Global Fund ETF Series,SLGI
SBLI,1,SBLI,SLGI MFS Blended Research Low Vol International Fund ETF Series,SLGI
SLCA,1,SLCA,Sun Life Core Advantage Credit Private Pool ETF Series,Sun Life
SLSC,1,SLSC,Sun Life Crescent Specialty Credit Private Pool ETF Series,Sun Life
TCOM,1,TCOM,TD Alternative Commodities Pool ETF,TD
TDY,1,TDY,Purpose TD (TD) Yield Shares ETF,TD
TGAF,1,TGAF,Tralucent Global Alt (Long/Short) Equity Fund,Tralucent
VCIP,1,VCIP,Vanguard Conservative Income ETF Portfolio,Vanguard
VI,1,VI,Vanguard FTSE Developed All Cap ex North America Index ETF,Vanguard
VIDY,1,VIDY,Vanguard FTSE Developed ex North America High Dividend Yield Index ETF,Vanguard
VIGG,1,VIGG,Vanguard Developed ex-North America Dividend Appreciation Index ETF,Vanguard
VIU,1,VIU,Vanguard FTSE Developed All Cap ex North America Index ETF,Vanguard
VRIF,1,VRIF,Vanguard Retirement Income ETF Portfolio,Vanguard
VUDH,1,VUDH,Vanguard U.S. High Dividend Yield Index ETF,Vanguard
VUDV,1,VUDV,Vanguard U.S. High Dividend Yield Index ETF,Vanguard
VVO,1,VVO,Vanguard Global Minimum Volatility ETF,Vanguard
WAAV,1,WAAV,WaveFront All-Weather Alternative Fund,WaveFront
WSHR,1,WSHR,Wealthsimple Shariah World Equity Index ETF,Wealthsimple
WSRD,1,WSRD,Wealthsimple Developed Markets ex North America Socially Responsible Index ETF,Wealthsimple
WSRI,1,WSRI,Wealthsimple North America Socially Responsible Index ETF,Wealthsimple
CGL.C,1,CGL.C,iShares Gold Bullion ETF,iShares
CIE,1,CIE,iShares International Fundamental Index ETF,iShares
CJP,1,CJP,iShares Japan Fundamental Index ETF,iShares
CLU,1,CLU,iShares US Fundamental Index ETF,iShares
CLU.C,1,CLU.C,iShares US Fundamental Index ETF,iShares
CRQ,1,CRQ,iShares Canadian Fundamental Index ETF,iShares
CWO,1,CWO,iShares Emerging Markets Fundamental Index ETF,iShares
IBIT,2,"IBIT,IBIT.U",iShares Bitcoin ETF,iShares
IBQT,1,IBQT,iShares Equity + Bitcoin ETF Portfolio,iShares
XEC,2,"XEC,XEC.U",iShares Core MSCI Emerging Markets IMI Index ETF,iShares
XEMC,1,XEMC,iShares MSCI Emerging Markets ex China Index ETF (CA),iShares
XEU,1,XEU,iShares MSCI Europe IMI Index ETF,iShares
XFLI,2,"XFLI,XFLI.U",iShares Flexible Monthly Income ETF,iShares
XFLX,1,XFLX,iShares Flexible Monthly Income ETF,iShares
XINC,1,XINC,iShares Core Income Balanced ETF,iShares
XINT,1,XINT,iShares Core MSCI All-International Equity Index ETF,iShares
XQQU,2,"XQQU,XQQU.U",iShares NASDAQ 100 Index ETF,iShares
XSPC,1,XSPC,iShares S&P 500 3% Capped Index ETF,iShares
XTOH,1,XTOH,iShares Core S&P Total U.S. Stock Market Index ETF,iShares
XTOT,1,XTOT.U,iShares Core S&P Total U.S. Stock Market Index ETF,iShares
XUSC,2,"XUSC,XUSC.U",iShares S&P 500 3% Capped Index ETF,iShares
XUSF,1,XUSF,iShares S&P U.S. Financials Index ETF,iShares
