TICKER,HOLDING_TICKER,HOLDING_NAME,WEIGHT_PCT
NBND,,"Realt_24-Rona-A 6.264 12-Dec-2029",
NBND,,Transcanada Trust 4.65% 05/18/2077,
NMNG,,Cameco Corporation,
NMNG,,G Mining Ventures Corp,
NMNG,,Hudbay Minerals Inc,
NMNG,,K92 Mining Inc,
NMNG,,Lynas Rare Earths Ltd,
NMNG,,Nexgen Energy Ltd,
NMNG,,Ninepoint Energy Fund,
NMNG,,Osisko Metals Inc,
NMNG,,Q2 Metals Corp,
NMNG,,Snowline Gold Corp,
NNRG,,Athabasca Oil Corp,
NNRG,,Baytex Energy Corp,
NNRG,,Calfrac Well Services Ltd,
NNRG,,Cenovus Energy Incorporation,
NNRG,,Ovintiv Inc,
NNRG,,Spartan Delta Corp,
NNRG,,Strathcona Resources Ltd,
NNRG,,Suncor Energy Inc,
NNRG,,Tamarack Valley Energy Ltd,
NNRG,,Whitecap Resources Inc,
NNRG.U,,Athabasca Oil Corp,
NNRG.U,,Baytex Energy Corp,
NNRG.U,,Calfrac Well Services Ltd,
NNRG.U,,Cenovus Energy Incorporation,
NNRG.U,,Ovintiv Inc,
NNRG.U,,Spartan Delta Corp,
NNRG.U,,Strathcona Resources Ltd,
NNRG.U,,Suncor Energy Inc,
NNRG.U,,Tamarack Valley Energy Ltd,
NNRG.U,,Whitecap Resources Inc,
NRGI,,Capital Power Corp,
NRGI,,Cardinal Energy Ltd,
NRGI,,Cenovus Energy Incorporation,
NRGI,,Enbridge Inc,
NRGI,,Prairiesky Royalty Ltd,
NRGI,,South Bow Corp,
NRGI,,Tc Energy Corp,
NRGI,,Topaz Energy Corp,
NRGI,,Vnom Sub Inc,
NRGI,,Whitecap Resources Inc,
NSAV,,Aimco Realty Investors Lp 2.195% 11/04/2026,
NSAV,,Bcimc Realty Corp 3% 03/31/2027,
NSAV,,Canadian Imperial Bank Of Commerce 03/19/2027,
NSAV,,Fortified Trust 1.964% 10/23/2026,
NSAV,,Glacier Credit Card Trust 4.74% 09/20/2026,
NSAV,,Laurentian Bank Of Canada 3.545% 04/20/2027,
NSAV,,Manulife Bank Of Canada 2.864% 02/16/2027,
NSAV,,Pacific Life Global Funding Ii 2.65029% 02/01/2027,
NSAV,,Royal Bank Of Canada 10/06/2026,
NSAV,,"Toronto-Dominion Bank/The (Toronto Branch)",
SBUL,,Silver Bullion,99.34
SBUL,,Cash and Cash Equivalents,0.66
TIF,,Canada (Government Of) 09/23/2026,
TIF,,Coastal Gaslink Pipeline Lp 4.673% 06/30/2027,
TIF,,Enbridge Inc 09/03/2026,
TIF,,Equitable Bank 5.16% 01/11/2027,
TIF,,General Motors Financial Of Canada Ltd 3.15% 02/08/2027,
TIF,,Hyundai Capital Canada Inc 3.196% 02/16/2027,
TIF,,Ninepoint Cash Mgmt Fund Cl I,
TIF,,Saputo Inc 2.242% 06/16/2027,
TIF,,Tc Energy Corp 3.8% 04/05/2027,
TIF,,Transcanada Pipelines Ltd 09/10/2026,
TIF,,DEC26 SPX P @ 5750.000000 (notional),17.20
