Ticker,Description,fLK+lF,Yahoo_Ticker
VIDY,Vanguard FTSE Developed ex North America High Dividend Yield Index ETF,$2.26 B,VIDY.TO
XFN,iShares S&P/TSX Capped Financials Index ETF,$2.25 B,XFN.TO
FCUL,Fidelity U.S. Low Volatility Index ETF,$2.19 B,FCUL.NE
CGL,iShares Gold Bullion ETF,$2.19 B,CGL.TO
ZWU,BMO Covered Call Utilities ETF,$2.16 B,ZWU.TO
QQQX,Global X NASDAQ-100 Index ETF,$2.11 B,QQQX.TO
ZCB,BMO Corporate Bond Index ETF,$2.11 B,ZCB.TO
QDX,Mackenzie International Equity Index ETF,$2.00 B,QDX.TO
FCIQ,Fidelity International High Quality Index ETF,$1.99 B,FCIQ.TO
ZDM,BMO MSCI EAFE Hedged to CAD Index ETF,$1.98 B,ZDM.TO
HHIS,Harvest Diversified High Income Shares ETF,$1.97 B,HHIS.TO
EQL,CI Invesco S&P 500 Equal Weight Index ETF,$1.95 B,EQL.TO
FCIM,Fidelity International Momentum Index ETF,$1.94 B,FCIM.TO
VSB,Vanguard Canadian Short-Term Bond Index ETF,$1.94 B,VSB.TO
HSAV,Global X Cash Maximizer Corporate Class ETF,$1.93 B,HSAV.TO
XIN,iShares MSCI EAFE Index ETF,$1.93 B,XIN.TO
CDIV,Manulife Smart Dividend ETF,$1.92 B,CDIV.TO
ZDV,BMO Canadian Dividend ETF,$1.91 B,ZDV.TO
HDIV,Hamilton Enhanced Canadian Covered Call ETF,$1.90 B,HDIV.TO
VBU,Vanguard U.S. Aggregate Bond Index ETF,$1.88 B,VBU.TO
MNY,Purpose Cash Management Fund,$1.88 B,MNY.TO
HHL,Harvest Healthcare Leaders Income ETF,$1.83 B,HHL.TO
HXQ,Global X Nasdaq-100 Index Corporate Class ETF,$1.82 B,HXQ.TO
NREA,NBI Global Real Assets Income Fund - ETF Series,$1.80 B,NREA.TO
XWD,iShares MSCI World Index ETF,$1.78 B,XWD.TO
ZJK,BMO High Yield US Corporate Bond Index ETF,$1.77 B,ZJK.TO
MIQE,Mackenzie GQE International Equity ETF,$1.77 B,MIQE.TO
TGED,TD Active Global Enhanced Dividend ETF,$1.74 B,TGED.TO
ZGLD,BMO Gold Bullion ETF,$1.68 B,ZGLD.TO
XGB,iShares Canadian Government Bond Index ETF,$1.67 B,XGB.TO
ZPR,BMO Laddered Preferred Share Index ETF,$1.67 B,ZPR.TO
FBTC,Fidelity Advantage Bitcoin ETF,$1.62 B,FBTC.TO
VSC,Vanguard Canadian Short-Term Corporate Bond Index ETF,$1.62 B,VSC.TO
FCGB,Fidelity Global Core Plus Bond ETF,$1.59 B,FCGB.TO
VBG,Vanguard Global ex-U.S. Aggregate Bond Index ETF,$1.56 B,VBG.TO
DCBC,Desjardins Canadian Corporate Bond Index ETF,$1.55 B,DCBC.TO
QQC.F,CI Invesco NASDAQ 100 Index ETF,$1.55 B,QQC-F.TO
CIF,iShares Global Infrastructure Index ETF,$1.54 B,CIF.TO
CUEI,CIBC MSCI USA Equity Index ETF,$1.53 B,CUEI.TO
QBB,Mackenzie Canadian Aggregate Bond Index ETF,$1.53 B,QBB.TO
NHYB,NBI High Yield Bond ETF,$1.52 B,NHYB.TO
ZHY,BMO High Yield US Corporate Bond Hedged to CAD Index ETF,$1.51 B,ZHY.TO
TQGM,TD Q Global Multifactor ETF,$1.49 B,TQGM.TO
ZCM,BMO Mid Corporate Bond Index ETF,$1.47 B,ZCM.TO
UMAX,Hamilton Utilities Yield Maximizer ETF,$1.45 B,UMAX.TO
RCDB,RBC Canadian Discount Bond ETF,$1.43 B,RCDB.NE
VUS,Vanguard Morningstar U.S. Total Market Index ETF,$1.42 B,VUS.TO
ZUAG.F,BMO US Aggregate Bond Index ETF,$1.41 B,ZUAG-F.TO
FIE,iShares Canadian Financial Monthly Income ETF,$1.39 B,FIE.TO
ZDB,BMO Discount Bond Index ETF,$1.37 B,ZDB.TO
HEB,HAMILTON CHAMPIONS Canadian Bank Equal-Weight Index ETF,$1.36 B,HEB.TO
FCCV,Fidelity Canadian Value Index ETF,$1.35 B,FCCV.TO
HXDM,Global X Intl Developed Markets Equity Index Corporate Class ETF,$1.32 B,HXDM.TO
VEF,Vanguard FTSE Developed All Cap ex U.S. Index ETF,$1.32 B,VEF.TO
FCIL,Fidelity International Low Volatility Index ETF,$1.32 B,FCIL.NE
TCSH,TD Cash Management ETF,$1.32 B,TCSH.TO
FCCM,Fidelity Canadian Momentum Index ETF,$1.30 B,FCCM.TO
BANK,Evolve Canadian Banks and Lifecos Enhanced Yield Index Fund,$1.28 B,BANK.TO
ZUQ,BMO MSCI USA High Quality Index ETF,$1.28 B,ZUQ.TO
ZFL,BMO Long Federal Bond Index ETF,$1.28 B,ZFL.TO
ZGQ,BMO MSCI All Country World High Quality Index ETF,$1.26 B,ZGQ.TO
FCGS,Fidelity Global Small Cap Opportunities Fund,$1.24 B,FCGS.NE
ZGB,BMO Government Bond Index ETF,$1.23 B,ZGB.TO
CDZ,iShares S&P/TSX Canadian Dividend Aristocrats Index ETF,$1.22 B,CDZ.TO
QAH,Mackenzie US Large Cap Equity Index ETF,$1.22 B,QAH.TO
WXM,CI Morningstar Canada Momentum Index ETF,$1.22 B,WXM.TO
HYLD,Hamilton Enhanced U.S. Covered Call ETF,$1.21 B,HYLD.TO
EQL.F,CI Invesco S&P 500 Equal Weight Index ETF,$1.21 B,EQL-F.TO
VXM,CI First Asset Morningstar International Value Index ETF,$1.21 B,VXM.TO
CIAI,CI Global Artificial Intelligence ETF,$1.19 B,CIAI.TO
SITI,Scotia International Equity Index Tracker ETF,$1.17 B,SITI.NE
ZWH,BMO US High Dividend Covered Call ETF,$1.16 B,ZWH.TO
XHY,iShares U.S. High Yield Bond Index ETF,$1.15 B,XHY.TO
FCCQ,Fidelity Canadian High Quality Index ETF,$1.14 B,FCCQ.TO
CPD,iShares S&P/TSX Canadian Preferred Share Index ETF,$1.13 B,CPD.TO
CQLU,CIBC Qx U.S. Low Volatility Dividend ETF,$1.12 B,CQLU.NE
FCCL,Fidelity Canadian Low Volatility Index ETF,$1.12 B,FCCL.NE
