Ticker,Description,fLK+lF,Yahoo_Ticker
FHIS,Franklin Canadian Ultra Short Term Bond Fund,$411.16 M,FHIS.TO
HEQT,Global X All-Equity Asset Allocation ETF,$408.20 M,HEQT.TO
JEPI,JPMorgan US Equity Premium Income Active ETF,$405.97 M,JEPI.TO
FCID,Fidelity International High Dividend Index ETF,$404.80 M,FCID.TO
ZGD,BMO Equal Weight Global Gold Index ETF,$402.41 M,ZGD.TO
RQT,RBC Target 2031 Canadian Corporate Bond ETF,$400.89 M,RQT.TO
QMVP,Hamilton Champions U.S. Technology Index ETF,$399.14 M,QMVP.TO
BKCC,Global X Equal Weight Canadian Bank Covered Call ETF,$396.22 M,BKCC.TO
XMV,iShares Edge MSCI Min Vol Canada Index ETF,$395.95 M,XMV.TO
CCOM,CI Auspice Broad Commodity Fund,$393.61 M,CCOM.TO
QTIP,Mackenzie US TIPS Index ETF,$392.35 M,QTIP.NE
TBAL,TD Balanced ETF Portfolio,$389.59 M,TBAL.TO
QDAY,Hamilton Enhanced Technology DayMAX ETF,$389.29 M,QDAY.NE
FCCD,Fidelity Canadian High Dividend Index ETF,$388.67 M,FCCD.TO
XFLX,iShares Flexible Monthly Income ETF,$386.66 M,XFLX.TO
NGPE,NBI Global Private Equity ETF,$385.11 M,NGPE.TO
MGDV,Mackenzie Global Dividend ETF,$384.93 M,MGDV.TO
ZPS,BMO Short Provincial Bond Index ETF,$383.98 M,ZPS.TO
TGFI,TD Active Global Income ETF,$382.30 M,TGFI.TO
CGIN,CI Global Investment Grade ETF,$382.18 M,CGIN.TO
XST,iShares S&P/TSX Capped Consumer Staples Index ETF,$375.42 M,XST.TO
CHPS,Global X Artificial Intelligence Semiconductor Index ETF,$375.26 M,CHPS.TO
BTCC.U,Purpose Bitcoin ETF,$270.82 M,BTCC-U.TO
VRIF,Vanguard Retirement Income ETF Portfolio,$371.88 M,VRIF.TO
XSEA,iShares ESG MSCI EAFE Index ETF,$369.36 M,XSEA.TO
NALT,NBI Liquid Alternatives ETF,$369.25 M,NALT.TO
RIT,CI First Asset Canadian REIT ETF,$369.01 M,RIT.TO
CACE,Avantis CIBC Canadian Equity ETF,$368.33 M,CACE.TO
XTR,iShares Diversified Monthly Income ETF,$368.02 M,XTR.TO
QQCL,Global X Enhanced Nasdaq-100 Covered Call ETF,$367.13 M,QQCL.TO
FCVH,Fidelity U.S. Value Currency Neutral Index ETF,$362.76 M,FCVH.TO
BIGY,Evolve US Equity UltraYield ETF,$362.38 M,BIGY.TO
VA,Vanguard FTSE Developed Asia Pacific All Cap Index ETF,$361.06 M,VA.TO
HFN,HAMILTON CHAMPIONS Canadian Financials Index ETF,$360.04 M,HFN.TO
FLGA,Franklin Global Core Bond Fund,$359.06 M,FLGA.TO
XMU,iShares MSCI USA Minimum Volatility Index ETF,$358.58 M,XMU.TO
RUSB.U,RBC Short Term U.S. Corporate Bond ETF,$258.87 M,RUSB-U.TO
XSPC,iShares S&P 500 3% Capped Index ETF,$355.17 M,XSPC.TO
RQO,RBC Target 2026 Canadian Corporate Bond Index ETF,$352.34 M,RQO.TO
QEE,Mackenzie Emerging Markets Equity Index ETF,$351.20 M,QEE.TO
FCSB,Fidelity Canadian Short Term Corporate Bond ETF,$350.27 M,FCSB.TO
HSH,Global X S&P 500 CAD Hedged Index Corporate Class ETF,$349.59 M,HSH.TO
HEWB,Global X Equal Weight Canadian Banks Index Corporate Class ETF,$348.25 M,HEWB.TO
CMGG,CI Munro Global Growth Equity Fund,$345.88 M,CMGG.TO
DLR,Global X US Dollar Currency ETF,$345.75 M,DLR.TO
ZWK,BMO Covered Call US Banks ETF,$344.19 M,ZWK.TO
MNU.U,Purpose USD Cash Management Fund,$247.88 M,MNU-U.TO
FCAM,Fidelity All-American Equity ETF,$342.43 M,FCAM.NE
SMVP.U,Hamilton Champions U.S. Dividend Index ETF,$245.41 M,SMVP-U.TO
ZUB,BMO Equal Weight U.S. Banks Index ETF,$339.38 M,ZUB.TO
CIC,CI First Asset CanBanc Income Class ETF,$335.23 M,CIC.TO
SDAY,Hamilton Enhanced U.S. Equity DayMAX ETF,$335.02 M,SDAY.NE
MCSM,Manulife Multifactor Canadian SMID Cap Index ETF,$330.01 M,MCSM.TO
XDU,iShares Core MSCI US Quality Dividend Index ETF,$329.75 M,XDU.TO
XCHP,iShares Semiconductor Index ETF,$328.80 M,XCHP.TO
NSDI,NBI SmartData International Equity Fund ETF Series Units,$328.71 M,NSDI.TO
CBND,Manulife Smart Corporate Bond ETF,$328.61 M,CBND.TO
PABF,Purpose Active Balanced Fund,$327.78 M,PABF.TO
MFT,Mackenzie Floating Rate Income ETF,$326.13 M,MFT.TO
QEBH,Mackenzie Emerging Markets Bond Index ETF,$325.36 M,QEBH.TO
RTA,Purpose Tactical Asset Allocation Fund,$324.74 M,RTA.NE
NRGY,Global X Equal Weight Canadian Oil & Gas Index ETF,$324.23 M,NRGY.TO
QBTL,AGF US Market Neutral Anti-Beta CAD-Hedged ETF,$323.61 M,QBTL.TO
FLVI,Franklin International Low Volatility High Dividend Index ETF (CA),$322.88 M,FLVI.NE
ZWG,BMO Global High Dividend Covered Call ETF,$322.52 M,ZWG.TO
JBND,JPMorgan US Bond Active ETF,$321.17 M,JBND.TO
CCDN,CI Canadian Equity Index ETF,$314.99 M,CCDN.NE
DXUS,Dynamic Active U.S. Equity ETF,$314.57 M,DXUS.TO
EVO,Evovest Global Equity ETF,$312.35 M,EVO.TO
ZSDB,BMO Short-Term Discount Bond ETF,$309.55 M,ZSDB.TO
ZSU,BMO Short-Term US IG Corporate Bond Hedged to CAD Index ETF,$309.23 M,ZSU.TO
PYF,Purpose Premium Yield Fund ETF,$308.60 M,PYF.TO
XAGH,iShares U.S. Aggregate Bond Index ETF,$308.44 M,XAGH.TO
ZBBZ.F,BMO BBB CLO ETF,$306.91 M,ZBBZ-F.NE
UDIV.B,Manulife Smart US Dividend ETF,$305.89 M,UDIV-B.TO
ZEQ,BMO MSCI Europe High Quality Hedged to CAD Index ETF,$304.38 M,ZEQ.TO
RUDB,RBC U.S. Discount Bond ETF,$304.06 M,RUDB.TO
GEQT,iShares ESG Equity ETF Portfolio,$301.59 M,GEQT.TO
CAPG,Capital Group Global Equity Select ETF,$300.30 M,CAPG.TO
CUSA.B,CI U.S. 500 Index ETF,$299.23 M,CUSA-B.NE
COW,iShares Global Agriculture Index ETF,$297.78 M,COW.TO
UMVP,Hamilton Champions Utilities Index ETF,$297.09 M,UMVP.TO
KILO.B,Purpose Gold Bullion Fund ETF,$296.36 M,KILO-B.TO
XEH,iShares MSCI Europe IMI Index ETF,$296.28 M,XEH.TO
ZPL,BMO Long Provincial Bond Index ETF,$296.20 M,ZPL.TO
TBNK,TD Canadian Bank Dividend Index ETF,$296.10 M,TBNK.TO
FCUB,Fidelity Core U.S. Bond ETF,$295.86 M,FCUB.TO
ZIU,BMO S&P/TSX 60 Index ETF,$294.30 M,ZIU.TO
CROP,Purpose Credit Opportunities Fund,$292.54 M,CROP.TO
CGXF,CI Gold+ Giants Covered Call ETF,$290.61 M,CGXF.TO
ENCL,Global X Enhanced Canadian Oil and Gas Equity Covered Call ETF,$290.08 M,ENCL.TO
HAB,Global X Active Corporate Bond ETF,$289.83 M,HAB.TO
XUSC,iShares S&P 500 3% Capped Index ETF,$289.51 M,XUSC.TO
GDXU,BetaPro Canadian Gold Miners 2x Daily Bull ETF,$289.48 M,GDXU.TO
CWW,iShares Global Water Index ETF,$289.44 M,CWW.TO
QCE,Mackenzie Canadian Large Cap Equity Index ETF,$289.44 M,QCE.TO
GBAL,iShares ESG Balanced ETF Portfolio,$288.02 M,GBAL.TO
XIG,iShares U.S. IG Corporate Bond Index ETF,$287.11 M,XIG.TO
MHYB,Mackenzie Global High Yield Fixed Income ETF,$286.76 M,MHYB.NE
CMNY,CI Money Market ETF,$283.32 M,CMNY.TO
ZLI,BMO Low Volatility International Equity ETF,$282.78 M,ZLI.TO
CGR,iShares Global Real Estate Index ETF,$281.47 M,CGR.TO
ZMID,BMO S&P US Mid Cap Index ETF,$280.57 M,ZMID.TO
CADE,Avantis CIBC International Equity ETF,$277.16 M,CADE.TO
HPYT,Harvest Premium Yield Treasury ETF,$275.33 M,HPYT.TO
WSGB,Wealthsimple North American Green Bond Index ETF,$274.71 M,WSGB.NE
GGRO,iShares ESG Growth ETF Portfolio,$273.52 M,GGRO.TO
NVHE,Harvest NVIDIA Enhanced High Income Shares ETF,$273.19 M,NVHE.TO
TULB,TD U.S. Long Term Treasury Bond ETF,$272.65 M,TULB.TO
UCSH.U,Global X USD High Interest Savings ETF,$196.74 M,UCSH-U.TO
DRFD,Desjardins RI Developed ex-USA ex-Canada Multifactor - Net-Zero Emissions Pathway ETF,$271.57 M,DRFD.TO
ZLC,BMO Long Corporate Bond Index ETF,$270.53 M,ZLC.TO
TSLY,Harvest Tesla Enhanced High Income Shares ETF,$267.36 M,TSLY.TO
FCUD,Fidelity U.S. High Dividend Index ETF,$266.80 M,FCUD.TO
PXC,CI RAFI Canadian Index ETF,$264.75 M,PXC.TO
PFL,CI 1-3 Year Laddered Floating Rate Note Index ETF,$264.02 M,PFL.TO
XTLH,iShares 20+ Year U.S. Treasury Bond Index ETF (CAD-Hedged),$264.63 M,XTLH.TO
LIFE,Evolve Global Healthcare Enhanced Yield ETF,$264.14 M,LIFE.TO
BTCX.U,CI Galaxy Bitcoin ETF,$190.75 M,BTCX-U.TO
QHY,Mackenzie US High Yield Bond Index ETF,$263.57 M,QHY.TO
ZFH,BMO Floating Rate High Yield ETF,$263.23 M,ZFH.TO
PRA,Purpose Diversified Real Asset Fund ETF,$262.72 M,PRA.TO
XRB,iShares Canadian Real Return Bond Index ETF,$260.61 M,XRB.TO
HNU,BetaPro Natural Gas 2x Daily Bull ETF - CAD,$260.46 M,HNU.TO
HXH,Global X Canadian High Dividend Index Corporate Class ETF,$259.45 M,HXH.TO
VRE,Vanguard FTSE Canadian Capped REIT Index ETF,$258.89 M,VRE.TO
EAFX,Global X MSCI EAFE Index ETF,$187.02 M,EAFX.NE
VCIP,Vanguard Conservative Income ETF Portfolio,$257.64 M,VCIP.TO
FLSA,Fidelity Long/Short Alternative Fund,$256.18 M,FLSA.NE
XQLT,iShares MSCI USA Quality Factor Index ETF,$255.91 M,XQLT.TO
TBCG,TD Target 2027 Investment Grade Bond ETF,$255.17 M,TBCG.TO
ETHH.B,Purpose Ether ETF,$255.06 M,ETHH-B.TO
XCS,iShares S&P/TSX Small Cap Index ETF,$254.76 M,XCS.TO
XHD,iShares U.S. High Dividend Equity Index ETF,$253.50 M,XHD.TO
ZMI,BMO Monthly Income ETF,$253.13 M,ZMI.TO
RUDH,RBC Quant U.S. Dividend Leaders ETF,$252.98 M,RUDH.TO
SYLD,Purpose Strategic Yield Fund ETF,$252.48 M,SYLD.TO
DXBG,Dynamic Global Fixed Income Fund ETF,$252.44 M,DXBG.TO
THE,TD International Equity Index ETF,$252.40 M,THE.TO
VALT,CI Gold Bullion Fund,$249.85 M,VALT.TO
SITE,Scotia Emerging Markets Equity Index Tracker ETF,$249.32 M,SITE.NE
CIE,iShares International Fundamental Index ETF,$248.47 M,CIE.TO
XCV,iShares Canadian Value Index ETF,$247.80 M,XCV.TO
PDF,Purpose Core Dividend Fund ETF,$247.43 M,PDF.TO
JEPQ,JPMorgan Nasdaq Equity Premium Income Active ETF,$247.28 M,JEPQ.TO
SRIU,Scotia Responsible Investing US Equity Index ETF,$245.90 M,SRIU.NE
FCIP,Fidelity All-In-One Conservative Income ETF,$245.07 M,FCIP.NE
BTCQ,3iQ Bitcoin ETF - USD,$176.56 M,BTCQ.TO
VLB,Vanguard Canadian Long-Term Bond Index ETF,$244.12 M,VLB.TO
GLDX,Global X Gold Producers Index ETF,$244.05 M,GLDX.TO
ZTIP.F,BMO Short-Term US TIPS Index ETF,$243.02 M,ZTIP-F.TO
USCL,Global X Enhanced S&P 500 Covered Call ETF,$242.41 M,USCL.TO
MBAL,Mackenzie Balanced Allocation ETF,$242.16 M,MBAL.TO
XPF,iShares S&P/TSX North American Preferred Stock Index ETF,$241.52 M,XPF.TO
HHIC,Harvest Canadian High Income Shares ETF,$241.07 M,HHIC.TO
JGLO,JPMorgan Global Select Equity Active ETF (CA),$240.86 M,JGLO.TO
ZDH,BMO International Dividend ETF,$240.42 M,ZDH.TO
FLCD,Franklin FTSE Canada All Cap Index ETF,$240.20 M,FLCD.TO
FST,First Trust Canadian Capital Strength ETF,$238.71 M,FST.TO
DGGB,Desjardins Global Government Bond Index ETF,$238.08 M,DGGB.TO
FSB,First Asset Enhanced Short Duration Bond ETF,$237.96 M,FSB.TO
DXCP,Dynamic Short Term Credit PLUS Fund ETF,$236.96 M,DXCP.TO
VVSG,Vanguard Canadian Ultra-Short Government Bond Index ETF,$236.45 M,VVSG.TO
XSAB,iShares ESG Canadian Aggregate Bond Index ETF,$236.14 M,XSAB.TO
HXEM,Global X Emerging Markets Equity Index Corporate Class ETF,$234.35 M,HXEM.TO
CUD,iShares US Dividend Growers Index ETF,$233.75 M,CUD.TO
TBIL,Harvest Canadian T-Bill ETF,$232.65 M,TBIL.TO
RDBH,RBC U.S. Discount Bond ETF,$232.26 M,RDBH.TO
CRED,CI Alternative Investment Grade Credit Fund,$232.09 M,CRED.TO
HUTS,Hamilton Enhanced Utilities ETF,$231.42 M,HUTS.TO
CEMI,CIBC MSCI Emerging Markets Equity Index ETF,$231.29 M,CEMI.TO
HOD,BetaPro Crude Oil Inverse Leveraged Daily Bear ETF,$229.22 M,HOD.TO
DGR,CI U.S. Quality Dividend Growth Index ETF,$227.08 M,DGR.TO
PLTE,Harvest Palantir Enhanced High Income Shares ETF,$226.95 M,PLTE.TO
CGDV.B,CI Global Minimum Downside Volatility Index ETF,$226.27 M,CGDV-B.TO
LLHE,Harvest Eli Lilly Enhanced High Income Shares ETF,$226.23 M,LLHE.TO
PMIF.U,PIMCO Monthly Income Fund (Canada) ETF,$163.34 M,PMIF-U.TO
LMAX,Hamilton Healthcare Yield Maximizer ETF,$225.59 M,LMAX.TO
MAAA,Mackenzie AAA CLO ETF,$225.22 M,MAAA.TO
XHB,iShares Canadian HYBrid Corporate Bond Index ETF,$224.66 M,XHB.TO
ZLSU,BMO Long Short US Equity ETF,$223.09 M,ZLSU.TO
CUSM.B,CI U.S. 1000 Index ETF,$222.90 M,CUSM-B.NE
ZBI,BMO Canadian Bank Income Index ETF,$220.87 M,ZBI.TO
FCCA,Fidelity All-Canadian Equity ETF,$220.16 M,FCCA.NE
JPIE,JPMorgan Income Active ETF,$218.97 M,JPIE.TO
ZJG,BMO Junior Gold Index ETF,$217.50 M,ZJG.TO
RLB,RBC 1-5 YEAR LADDERED CANADIAN BOND ETF,$215.68 M,RLB.TO
ZWA,BMO Covered Call Dow Jones Industrial Average Hedged to CAD ETF,$215.11 M,ZWA.TO
HPYM,Harvest Premium Yield 7-10 Year Treasury ETF,$215.09 M,HPYM.TO
PAGF,Purpose Active Growth Fund,$214.76 M,PAGF.TO
GCTB,Guardian Ultra-Short Canadian T-Bill Fund,$214.25 M,GCTB.TO
SHLD,Global X Defence Tech Index ETF,$213.33 M,SHLD.TO
CAPI,Capital Group International Equity Select ETF,$212.46 M,CAPI.TO
ZWT,BMO Covered Call Technology ETF,$211.01 M,ZWT.TO
ZFN,BMO SIA Focused North American Equity Fund ETF,$210.29 M,ZFN.TO
HXX,Global X Europe 50 Index Corporate Class ETF,$209.88 M,HXX.TO
XHU,iShares U.S. High Dividend Equity Index ETF,$209.81 M,XHU.TO
PID,Purpose International Dividend Fund ETF,$209.23 M,PID.TO
DXBB,Dynamic Active Bond ETF,$207.75 M,DXBB.TO
RBO,RBC 1-5 Year Laddered Canadian Corporate Bond ETF,$207.11 M,RBO.TO
ECHI,Ninepoint Enhanced Canadian HighShares ETF,$206.07 M,ECHI.TO
CYH,iShares Global Monthly Dividend Index ETF,$205.31 M,CYH.TO
DANC,Desjardins Alt Long/Short Equity Market Neutral ETF,$205.18 M,DANC.TO
HURA,Global X Uranium Index ETF,$204.73 M,HURA.TO
FIG,CI Investment Grade Bond ETF,$204.18 M,FIG.TO
CORE,PIMCO Canadian Core Bond Fund,$203.83 M,CORE.TO
MINT.B,Manulife Multifactor Developed International Index ETF,$203.56 M,MINT-B.TO
NBCG,NBI Canadian Equity Growth Fund - ETF Series,$203.14 M,NBCG.TO
MGSB,Mackenzie Global Sustainable Bond ETF,$203.08 M,MGSB.NE
HLIF,Harvest Canadian Dividend Leaders Income ETF,$202.41 M,HLIF.TO
ESGY,BMO MSCI USA ESG Leaders Index ETF,$198.70 M,ESGY.TO
FCLC,Fidelity Canadian Large Cap Fund,$197.93 M,FCLC.NE
BKCL,Global X Enhanced Equal Weight Canadian Banks Covered Call ETF,$196.66 M,BKCL.TO
FMAX,Hamilton U.S. Financials Yield Maximizer ETF,$196.10 M,FMAX.TO
COPP,Global X Copper Producers Index ETF,$195.36 M,COPP.TO
YNVD,NVIDIA (NVDA) Yield Shares Purpose ETF,$195.35 M,YNVD.NE
CBNK,Mulvihill Canadian Bank Enhanced Yield ETF,$195.34 M,CBNK.TO
MSHE,Harvest Microsoft Enhanced High Income Shares ETF,$195.23 M,MSHE.TO
EBIT,Evolve Bitcoin ETF,$194.89 M,EBIT.TO
XQQU,iShares NASDAQ 100 Index ETF,$193.89 M,XQQU.TO
MCLV,Mackenzie Canada Low Volatility ETF,$190.66 M,MCLV.TO
ZSML,BMO S&P US Small Cap Index ETF,$190.65 M,ZSML.TO
CNCC,Global X S&P/TSX 60 Covered Call ETF,$190.42 M,CNCC.TO
HGY,Global X Gold Yield ETF,$189.92 M,HGY.TO
CYBR,Evolve Cyber Security Index ETF,$189.88 M,CYBR.TO
MULC.B,Manulife Multifactor U.S. Large Cap Index ETF,$187.28 M,MULC-B.TO
IQD.B,CI International Quality Dividend Growth Index ETF,$186.67 M,IQD-B.TO
XDGH,iShares Core MSCI Global Quality Dividend Index ETF,$185.62 M,XDGH.TO
HBAL,Global X Balanced Asset Allocation ETF,$183.15 M,HBAL.TO
SPXU,BetaPro S&P 500 2x Daily Bull ETF,$182.24 M,SPXU.TO
ZUH,BMO Equal Weight U.S. Health Care Index ETF,$181.94 M,ZUH.TO
ZSB,BMO Short-Term Bond Index ETF,$181.67 M,ZSB.TO
XMI,iShares MSCI EAFE Minimum Volatility Index ETF,$180.89 M,XMI.TO
XCH,iShares China Index ETF,$179.34 M,XCH.TO
XEN,iShares Jantzi Social Index ETF,$179.29 M,XEN.TO
CCBI,CIBC Canadian Bond Index ETF,$178.49 M,CCBI.TO
XEF.U,iShares Core MSCI EAFE IMI Index ETF,$128.79 M,XEF-U.TO
HISU.V,US High Interest Savings Account Fund,$127.80 M,HISU-V.TO
CUSD.U,CIBC USD Premium Cash Management ETF,$127.77 M,CUSD-U.TO
CJP,iShares Japan Fundamental Index ETF,$176.37 M,CJP.TO
VALT.U,CI Gold Bullion Fund,$127.31 M,VALT-U.TO
BMAX,Brompton Enhanced Multi-Asset Income ETF,$175.56 M,BMAX.TO
XMW,iShares Edge MSCI Min Vol Global Index ETF,$175.35 M,XMW.TO
CBAL,CI Balanced Asset Allocation ETF,$174.80 M,CBAL.TO
FCIG,Fidelity Global Investment Grade Bond ETF,$171.73 M,FCIG.TO
ZVU,BMO MSCI USA Value Index ETF,$169.02 M,ZVU.TO
EQLI,Invesco S&P 500 Equal Weight Income Advantage ETF (CA),$168.07 M,EQLI.TO
NPRF,NBI Active Canadian Preferred Shares ETF,$167.45 M,NPRF.TO
SOLQ,3iQ Solana Staking ETF,$166.43 M,SOLQ.TO
DUIG,Desjardins US Investment Grade Corp Bond Index ETF,$165.69 M,DUIG.TO
HTB,Global X US 7-10 Year Treasury Bond Index Corporate Class ETF,$165.62 M,HTB.TO
ZUCM.U,BMO USD Cash Management ETF,$119.50 M,ZUCM-U.TO
APLE,Harvest Apple Enhanced High Income Shares ETF,$164.82 M,APLE.TO
AMDY,Harvest AMD Enhanced High Income Shares ETF,$164.77 M,AMDY.TO
RMAX,Hamilton REITs YIELD MAXIMIZER ETF,$164.68 M,RMAX.TO
HBIL,Hamilton U.S. T-Bill YIELD MAXIMIZER ETF,$163.80 M,HBIL.TO
XAD,iShares U.S. Aerospace & Defense Index ETF,$162.21 M,XAD.TO
ZID,BMO MSCI India Selection Equity Index ETF,$162.04 M,ZID.TO
RIDH,RBC Quant EAFE Dividend Leaders ETF,$161.51 M,RIDH.TO
SLVU,BetaPro Silver 2x Daily Bull ETF,$160.52 M,SLVU.TO
HBND,Hamilton U.S. Bond Yield Maximizer ETF,$159.70 M,HBND.TO
AVGY,Harvest Broadcom Enhanced High Income Shares ETF,$159.45 M,AVGY.TO
ZUD,BMO US Dividend ETF,$159.41 M,ZUD.TO
XGI,iShares S&P Global Industrials Index ETF,$159.16 M,XGI.TO
GTRI,IA Clarington Agile Global Total Return Income Fund,$159.15 M,GTRI.TO
CIBR,First Trust Nasdaq Cybersecurity ETF (CA),$158.47 M,CIBR.TO
GOGY,Harvest Alphabet Enhanced High Income Shares ETF,$158.34 M,GOGY.TO
XSTB,iShares ESG Canadian Short Term Bond Index ETF,$158.25 M,XSTB.TO
TLF,Brompton Tech Leaders Income ETF,$157.74 M,TLF.TO
QTLT,Mackenzie US Government Long Bond Index ETF,$157.37 M,QTLT.TO
AMHE,Harvest Amazon Enhanced High Income Shares ETF,$157.01 M,AMHE.TO
XUU.U,iShares Core S&P U.S. Total Market Index ETF,$112.97 M,XUU-U.TO
MHCD,Middlefield Healthcare Dividend ETF,$156.14 M,MHCD.TO
RUST,RBC Canadian Ultra Short Term Bond ETF,$155.51 M,RUST.TO
THU,TD S&P 500 Index ETF,$155.48 M,THU.TO
HAC,Global X Seasonal Rotation ETF,$154.66 M,HAC.TO
ZXM,CI First Asset Morningstar International Momentum Index ETF,$153.30 M,ZXM.TO
NSCC,NBI Sustainable Canadian Corporate Bond ETF,$153.28 M,NSCC.TO
HHL.U,Harvest Healthcare Leaders Income ETF,$110.75 M,HHL-U.TO
XCG,iShares Canadian Growth Index ETF,$153.11 M,XCG.TO
MREL,Middlefield Real Estate Dividend ETF,$153.05 M,MREL.TO
DXB,Dynamic Active Tactical Bond ETF,$152.89 M,DXB.TO
ESPX,Evolve S&P 500 Enhanced Yield Fund,$152.69 M,ESPX.TO
METE,Harvest Meta Enhanced High Income Shares ETF,$152.63 M,METE.TO
QQQT,Evolve NASDAQ Technology Index Fund,$152.57 M,QQQT.TO
EMMX,Global X MSCI Emerging Markets Index ETF,$109.98 M,EMMX.NE
CRQ,iShares Canadian Fundamental Index ETF,$151.79 M,CRQ.TO
HXE,Global X S&P/TSX Capped Energy Index Corporate Class ETF,$150.76 M,HXE.TO
BDIV,Brompton Global Dividend Growth ETF,$150.44 M,BDIV.TO
ZUQ.F,BMO MSCI USA High Quality Index ETF,$147.93 M,ZUQ-F.TO
HOU,BetaPro Crude Oil Leveraged Daily Bull ETF,$147.71 M,HOU.TO
XEMC,iShares MSCI Emerging Markets ex China Index ETF (CA),$147.34 M,XEMC.TO
PFLS,PICTON Long Short Equity Alternative Fund ETF,$147.24 M,PFLS.TO
CIEM,CI Emerging Markets Alpha ETF,$147.10 M,CIEM.TO
CMAG,CI Munro Alternative Global Growth ETF,$145.30 M,CMAG.TO
VGV,Vanguard Canadian Government Bond Index ETF,$144.45 M,VGV.TO
FLCP,Franklin Canadian Core Plus Bond Fund,$143.71 M,FLCP.TO
ZJAN,BMO US Equity Buffer Hedged to CAD ETF - January,$142.50 M,ZJAN.NE
ICGB,Invesco Global Bond ETF,$142.13 M,ICGB.TO
BPRF,Brompton Flaherty & Crumrine Investment Grade Preferred ETF,$142.09 M,BPRF.TO
XSTP,iShares 0-5 Year TIPS Bond Index ETF,$141.73 M,XSTP.TO
HYLD.U,Hamilton Enhanced U.S. Covered Call ETF,$102.04 M,HYLD-U.TO
ESGC,CI S&P/TSX Composite ESG Index ETF,$140.61 M,ESGC.TO
ZGLH,BMO Gold Bullion Hedged to CAD ETF,$141.00 M,ZGLH.TO
ZWEN,BMO Covered Call Energy ETF,$140.27 M,ZWEN.TO
QQQQ,Mackenzie NASDAQ 100 Index ETF,$139.97 M,QQQQ.TO
VALT.B,CI Gold Bullion Fund,$139.22 M,VALT-B.TO
ESGA,BMO MSCI Canada Selection Equity Index ETF,$138.49 M,ESGA.TO
TQQQ,BetaPro 3x Nasdaq-100 Daily Leveraged Bull Alternative ETF,$138.23 M,TQQQ.TO
DCG,Desjardins 1-5 year Laddered Canadian Government Bond Index ETF,$137.92 M,DCG.TO
QIF,AGF Systematic Global Infrastructure ETF,$137.54 M,QIF.NE
NXF,CI Energy Giants Covered Call ETF,$137.39 M,NXF.TO
CAEM,Avantis CIBC Emerging Markets Equity ETF,$137.27 M,CAEM.TO
SVR.C,iShares Silver Bullion ETF,$137.01 M,SVR-C.TO
QASH,Mackenzie Canadian Ultra Short Bond Index ETF,$136.78 M,QASH.TO
UCSH.V,Global X USD High Interest Savings ETF,$97.41 M,UCSH-V.TO
SOXL,BetaPro 3x Semiconductor Daily Leveraged Bull Alternative ETF,$134.62 M,SOXL.NE
CASV,Avantis CIBC Global Small Cap Value ETF,$134.09 M,CASV.TO
TCON,TD Conservative ETF Portfolio,$133.93 M,TCON.TO
RPD,RBC QUANT EUROPEAN Dividend LEADERS ETF,$133.60 M,RPD.TO
FLUS,Franklin U.S. Large Cap Multifactor Index ETF (CA),$132.84 M,FLUS.TO
TILV,TD Q International Low Volatility ETF,$131.94 M,TILV.TO
CTBD,CIBC 2028 Investment Grade Bond Fund,$131.69 M,CTBD.NE
ETSX,Evolve S&P/TSX 60 Enhanced Yield Fund ETF,$131.69 M,ETSX.TO
HBA,Hamilton Australian Bank Equal-Weight Index ETF,$131.58 M,HBA.TO
TDOC,TD Global Healthcare Leaders Index ETF,$131.15 M,TDOC.TO
HXF,Global X S&P/TSX Capped Financials Index Corporate Class ETF,$130.93 M,HXF.TO
CHCL.B,CI Global Healthcare Leaders Index ETF,$130.90 M,CHCL-B.NE
FLJA,Franklin FTSE Japan Index ETF,$130.41 M,FLJA.TO
ZTL.F,BMO Long-Term US Treasury Bond Index ETF,$130.13 M,ZTL-F.NE
ETHH,Purpose Ether ETF,$130.12 M,ETHH.TO
QQQY,Evolve NASDAQ Technology Enhanced Yield Index Fund ETF,$129.30 M,QQQY.TO
PPLN,Global X Equal Weight Canadian Pipeline Index ETF - CAD,$127.83 M,PPLN.TO
TECH,Evolve FANGMA Index ETF,$127.60 M,TECH.TO
ZUS.U,BMO Ultra Short-Term US Bond ETF,$91.97 M,ZUS-U.TO
SPXE,Harvest SpaceX Enhanced High Income Shares ETF,$127.16 M,SPXE.TO
RGQT,RBC Target 2031 Canadian Government Bond ETF,$126.72 M,RGQT.TO
COSY,Harvest Costco Enhanced High Income Shares ETF,$126.52 M,COSY.TO
XINC,iShares Core Income Balanced ETF,$126.17 M,XINC.TO
RGQP,RBC Target 2027 Canadian Government Bond ETF,$125.84 M,RGQP.TO
CUBD,CI Global Unconstrained Bond Private Pool ETF,$125.77 M,CUBD.TO
ESGE,BMO MSCI EAFE Selection Equity Index ETF,$125.59 M,ESGE.TO
SIXY,Evolve Big Six Canadian Banks UltraYield Index ETF,$124.72 M,SIXY.TO
ZWH.U,BMO US High Dividend Covered Call ETF,$89.95 M,ZWH-U.TO
HAL,Global X Active Canadian Dividend ETF,$124.32 M,HAL.TO
FSF,CI Global Financial Sector ETF,$123.99 M,FSF.TO
NRGI,Ninepoint Energy Income Fund,$123.77 M,NRGI.TO
SPAY,Global X Short-Term U.S. Treasury Premium Yield ETF,$89.00 M,SPAY.TO
CALL,Evolve US Banks Enhanced Yield ETF,$122.69 M,CALL.TO
