ticker,exchange,name,provider
VMO,TSX,Vanguard Global Momentum Factor ETF (VMO),Vanguard Investments Canada Inc.
VVL,TSX,Vanguard Global Value Factor ETF (VVL),Vanguard Investments Canada Inc.
VBAL,TSX,Vanguard Balanced ETF Portfolio (VBAL),Vanguard Investments Canada Inc.
VCNS,TSX,Vanguard Conservative ETF Portfolio (VCNS),Vanguard Investments Canada Inc.
VGRO,TSX,Vanguard Growth ETF Portfolio (VGRO),Vanguard Investments Canada Inc.
VEQT,TSX,Vanguard All Equity ETF (VEQT),Vanguard Investments Canada Inc.
CAGS,TSX,CI Canadian Short-Term Aggregate Bond Index ETF,CI Global Asset Management
EHE,TSX,CI Europe Hedged Equity Index ETF,CI Global Asset Management
CAGG,TSX,CI Canadian Aggregate Bond Index ETF,CI Global Asset Management
ONEQ,TSX,ONE Global Equity ETF.,WisdomTree Canada
DRG.B,TSX,WisdomTree U.S. Quality Dividend Growth Index ETF.,WisdomTree Canada
EHE.B,TSX,WisdomTree Europe Hedged Equity Index ETF.,WisdomTree Canada
DRG,TSX,WisdomTree U.S. Quality Dividend Growth Index ETF.,WisdomTree Canada
UMI,TSX,CI U.S. MidCap Dividend Index ETF,CI Global Asset Management
DQD,TSX,WisdomTree U.S. Quality Dividend Growth Variably Hedged Index ETF™.,WisdomTree Canada
IQD.B,TSX,WisdomTree International Quality Dividend Growth Index ETF.,WisdomTree Canada
IQD,TSX,CI International Quality Dividend Growth Index ETF,CI Global Asset Management
DQI,TSX,WisdomTree International Quality Dividend Growth Variably Hedged Index ETF™.,WisdomTree Canada
HID,TSX,WisdomTree U.S. High Dividend Index ETF.,WisdomTree Canada
HID.B,TSX,WisdomTree U.S. High Dividend Index ETF.,WisdomTree Canada
DRGC,TSX,WisdomTree Canada Quality Dividend Growth Index ETF.,WisdomTree Canada
EMV.B,TSX,CI Emerging Markets Dividend Index ETF,CI Global Asset Management
UMI.B,TSX,WisdomTreee U.S. MidCap Dividend Index ETF.,WisdomTree Canada
PLV,TSX,"PowerShares Low Volatility Portfolio ETF - CAD, May 6, 2015",Invesco
PTB,TSX,"PowerShares Tactical Bond ETF, Aug 24 2012",Invesco
PFL,TSX,"PowerShares 1-3 Year Laddered Floating Rate Note Index ETF, Jul 21 2014",Invesco
PSB,TSX,"PowerShares 1-5 Year Laddered Investment Grade Corporate Bond Index ETF, Jun 15 2011",Invesco
USB,TSX,"PowerShares LadderRite U.S. 0-5 Year Corporate Bond Index ETF - CAD, Jul 21 2014",Invesco
USB.U,TSX,"PowerShares LadderRite U.S. 0-5 Year Corporate Bond Index ETF - USD, Jul 21 2014",Invesco
PGL,TSX,"PowerShares Ultra Liquid Long Term Government Bond Index ETF, Jun 15 2011",Invesco
BKL,TSX,"PowerShares Senior Loan (CAD Hedged) Index ETF, Apr 16 2012",Invesco
PFH,TSX,"PowerShares Fundamental High Yield Corporate Bond (CAD Hedged) Index ETF, Jun 21 2011",Invesco
PPS,TSX,"PowerShares Canadian Preferred Share Index ETF, Jun 16 2011",Invesco
PDC,TSX,"PowerShares Canadian Dividend Index ETF, Jun 16 2011",Invesco
PSY,TSX,"PowerShares Global Shareholder Yield ETF - CAD, May 6, 2015",Invesco
PSY.U,TSX,"PowerShares Global Shareholder Yield ETF - USD, May 6, 2015",Invesco
TLV,TSX,"PowerShares S&P/TSX Composite Low Volatility Index ETF, Apr 24 2012",Invesco
ULV,TSX,"PowerShares S&P 500 Low Volatility (CAD Hedged) Index ETF, Jan 24 2012",Invesco
ILV,TSX,"PowerShares S&P International Developed Low Volatility Index ETF, Sep 08 2014",Invesco
ELV,TSX,"PowerShares S&P Emerging Markets Low Volatility Index ETF, Sep 08 2014",Invesco
PXC,TSX,"PowerShares FTSE RAFI Canadian Fundamental Index ETF, Jan 26 2012",Invesco
PZC,TSX,"PowerShares FTSE RAFI Canadian Small-Mid Fundamental Index ETF, Apr 14 2015",Invesco
PXS,TSX,"PowerShares FTSE RAFI U.S. Fundamental Index ETF - CAD, Apr 14 2015",Invesco
PXS.U,TSX,"PowerShares FTSE RAFI U.S. Fundamental Index ETF - USD, Apr 14 2015",Invesco
PXU,TSX,"PowerShares FTSE RAFI US Fundamental (CAD Hedged) Index ETF, Jan 26 2012",Invesco
PXG,TSX,"PowerShares FTSE RAFI Global+ Fundamental Index ETF - CAD, Apr 14 2015",Invesco
PXG.U,TSX,"PowerShares FTSE RAFI Global+ Fundamental Index ETF - USD, Apr 14 2015",Invesco
