Ticker,HoldingName,WeightPct
,GRANITE REIT HLDGS LTD PRTNR 3.999% 10/04/2029,0.01
,IGM FINANCIAL INC 5.426% 05/26/2053,0.01
,BANK OF NOVA SCOTIA 3.616%/VAR 01/30/2032,0.01
,407 INTERNATIONAL INC 5.06% 04/07/2056,0.01
,BRITISH COLUMBIA PROVINCE CDA 2.95% 12/18/2028,0.01
,VIDEOTRON LTD 3.625% 06/15/2028 REGS,0.01
,HYDRO-QUEBEC 2% 09/01/2028,0.01
,INTACT FINL CORP 2.954% 12/16/2050,0.01
,407 INTERNATIONAL INC 2.84% 03/07/2050,0.01
,CANADIAN NATIONAL RAILWAY CO 4.4% 05/10/2033,0.01
,NOVA SCOTIA POWER INC 6.95% 08/25/2033,0.01
,KEYERA CORP 5.309% 10/15/2055,0.01
,RELIANCE LP 2.68% 12/01/2027,0.01
,EPCOR UTILS INC 3.554% 11/27/2047,0.01
,407 INTERNATIONAL INC 4.68% 10/07/2053,0.01
,GA GLOBAL FUNDING TRUST 4.858% 07/22/2033 REGS,0.01
,CAPITAL PWR CORP 5.378% 01/25/2027,0.01
,ENBRIDGE GAS INC 4.16% 09/12/2035,0.01
,BROOKFIELD FINANCE II INC 5.399% 12/11/2055,0.01
,NORTH WEST REDWATER PARTNERSHIP / NWR FINANCING CO LTD 4.35% 01/10/2039,0.01
,EPCOR UTILS INC 4.725% 09/02/2052,0.01
,SUN LIFE FINL INC 4.14%/VAR 09/13/2037,0.01
,WALT DISNEY CO/THE 3.057% 03/30/2027,0.01
,CT REAL ESTATE INVT TR 3.029% 02/05/2029,0.01
,INTACT FINL CORP 3.784%/VAR 02/28/2038,0.01
,TOYOTA CR CDA INC 3.73% 10/02/2029,0.01
,CU INC 3.548% 11/22/2047,0.01
,GOLDMAN SACHS GROUP INC (THE) 2.599%/VAR 11/30/2027,0.01
,FEDERATION DES CAISE DESJARDIN 4.123% 08/25/2032,0.01
,DAIMLER TRUCKS FINANCE CANADA INC 5.81% 09/25/2026,0.01
,PRINCE EDWARD ISLAND PROV CDA 3.6% 01/17/2053,0.01
,MANITOBA PROVINCE CDA 3% 06/02/2028,0.01
,BANK OF MONTREAL QUE 4.709% 12/07/2027,0.01
,CU INC 3.763% 11/19/2046,0.01
,ELECTRICITE DE FRANCE 5.777% 05/17/2054,0.01
,HONDA CDA FIN INC 3.539% 09/23/2030,0.01
,SAPUTO INC 2.297% 06/22/2028,0.01
,ALTALINK LP 4.09% 06/30/2045 REGS,0.01
,CT REAL ESTATE INVT TR 3.865% 12/07/2027,0.01
,BELL TELEPHONE CO OF CANADA OR BELL CANADA/THE 5.3% 06/03/2056,0.01
,407 INTERNATIONAL INC 4.45% 09/11/2052,0.01
,TRANSCANADA PIPELINES LTD 4.35% 06/06/2046,0.01
,ONTARIO POWER GENERATION INC 2.947% 02/21/2051,0.01
,DAIMLER TRUCKS FINANCE CANADA INC 5.77% 09/25/2028,0.01
,BELL TELEPHONE CO OF CANADA OR BELL CANADA/THE 6.55% 05/01/2029 144A,0.01
,NATIONAL BANK OF CANADA 4.968% 12/07/2026,0.01
,NOVA SCOTIA PROVINCE CDA 4.5% 06/01/2037,0.01
,FEDERATION DES CAISE DESJARDIN 4.407% 05/19/2027,0.01
,GREAT WEST LIFECO INC 5.998% 11/16/2039,0.01
,ONTARIO PROVINCE CDA 1.35% 12/02/2030,0.01
,NOVA SCOTIA POWER INC 4.5% 07/20/2043 REGS,0.01
,FORTISBC ENERGY INC 2.42% 07/18/2031,0.01
,IA FINANCIAL CORP INC 4.131%/VAR 12/05/2034,0.01
,QUEBEC PROVINCE CDA 2.1% 05/27/2031,0.01
,HYDRO ONE INC 3.63% 06/25/2049,0.01
,TRANSCANADA PIPELINES LTD 5.127% 11/19/2055,0.01
,CU INC 5.032% 11/20/2036,0.01
,NEW BRUNSWICK PROVINCE CANADA 4.05% 08/14/2034,0.01
,AEROPORTS DE MONTREAL 6.55% 10/11/2033,0.01
,LOBLAW COS LTD 6.85% 03/01/2032 144A,0.01
,COASTAL GASLINK PIPELINE LP 4.673% 06/30/2027,0.01
,ENBRIDGE GAS INC 2.37% 08/09/2029,0.01
,BROOKFIELD CORP 5.95% 06/14/2035,0.01
,407 INTERNATIONAL INC 2.59% 05/25/2032 144A REGS,0.01
,HYDRO ONE INC 3.93% 11/30/2029,0.01
,ALTALINK LP 3.99% 06/30/2042,0.01
,FORD CREDIT CANADA CO CIE CREDIT FORD DU CANADA 4.916% 01/09/2031,0.01
,HYDRO ONE INC 4.39% 09/26/2041,0.01
,INTACT FINL CORP 2.85% 06/07/2027 REGS,0.01
,SCOTIABANK CAP TR 5.65%/VAR 12/31/2056,0.01
,ENERGIR LP 4.67% 09/27/2032,0.01
,ENBRIDGE INC 5.75% 09/02/2039,0.01
,BROOKFIELD RENEWABLE PARTNERS ULC 3.33% 08/13/2050,0.01
,TORONTO HYDRO CORP 2.47% 10/20/2031,0.01
,EPCOR UTILS INC 5.75% 11/24/2039,0.01
,ENBRIDGE INC 4.1% 09/21/2051,0.01
,AEROPORTS DE MONTREAL 3.36% 04/24/2047,0.01
,EPCOR UTILS INC 2.411% 06/30/2031,0.01
,ENBRIDGE GAS INC 6.9% 11/15/2032,0.01
,HYDRO ONE INC 1.69% 01/16/2031,0.01
,FORTISALBERTA INC 5.37% 10/30/2039,0.01
,BANK OF NOVA SCOTIA 1.85% 11/02/2026,0.01
,ENBRIDGE GAS INC 6.05% 09/02/2038 REGS,0.01
,METRO INC 4.27% 12/04/2047,0.01
,PEMBINA PIPELINE CORP 4.75% 03/26/2048,0.01
,GREATER TORONTO ARPTS AUTH 5.63% 06/07/2040 144A,0.01
,LOWER MATTAGAMI ENRG LTD PRTP 4.691% 06/07/2054,0.01
,CU INC 3.174% 09/05/2051,0.01
,HYDRO ONE LIMITED 1.41% 10/15/2027,0.01
,NOVA SCOTIA PROVINCE CDA 2% 09/01/2030,0.01
,CU INC 2.609% 09/28/2050,0.01
,NEWFOUNDLAND PROVINCE CDA 3.15% 12/02/2052,0.01
,GREATER TORONTO ARPTS AUTH 6.47% 02/02/2034 144A,0.01
,MANITOBA PROVINCE CDA 4.4% 03/05/2042,0.01
,FORTISALBERTA INC 4.763% 07/07/2055,0.01
,ALTALINK LP 3.717% 12/03/2046,0.01
,ALTAGAS LTD 5.597% 03/14/2054,0.01
,BRITISH COLUMBIA FERRY SVC INC 5.021% 03/20/2037,0.01
,HYDRO ONE INC 2.71% 02/28/2050,0.01
,NEW BRUNSWICK PROVINCE CANADA 4.55% 03/26/2037,0.01
,SASKATCHEWAN PROV CDA 2.65% 06/02/2027,0.01
