Ticker,HoldingName,WeightPct
,BRITISH COLUMBIA PROVINCE CDA 3.9% 06/18/2036,0.23
,NEXTERA ENERGY CAP HLDGS INC 4.85% 04/30/2031,0.23
,TELUS CORPORATION 4.95% 03/28/2033,0.23
,TRANSCANADA PIPELINES LTD 3% 09/18/2029 REGS,0.23
,MANULIFE FINANCIAL CORP 7.117%/VAR 06/19/2082,0.23
,HYDRO-QUEBEC 5% 02/15/2045,0.23
,CENOVUS ENERGY INC 4.6% 11/20/2035,0.22
,TRANSCANADA PIPELINES LTD 4.575% 02/20/2035,0.22
,TELUS CORPORATION 4.95% 02/18/2031,0.22
,FORD CREDIT CANADA CO CIE CREDIT FORD DU CANADA 5.441% 02/09/2029,0.22
,ONTARIO PROVINCE CDA 3.6% 03/08/2028,0.22
,ONTARIO PROVINCE CDA 5.6% 06/02/2035,0.21
,KEYERA CORP 4.638% 07/15/2036,0.21
,LOBLAW COS LTD 4.488% 12/11/2028,0.21
,BROOKFIELD RENEWABLE PARTNERS ULC 4.542% 10/12/2035,0.21
,ELECTRICITE DE FRANCE 5.379% 05/17/2034,0.21
,CANADIAN DOLLAR,0.21
,PEMBINA PIPELINE CORP 5.21% 01/12/2034,0.21
,AMAZON.COM INC 3.4% 06/12/2029,0.21
,LOBLAW COS LTD 5.008% 09/13/2032,0.21
,BRITISH COLUMBIA PROVINCE CDA 2.75% 06/18/2052,0.21
,ONTARIO PROVINCE CDA 3.75% 06/02/2032,0.21
,ONTARIO PROVINCE CDA 2.8% 06/02/2048,0.21
,HYDRO-QUEBEC 3.4% 09/01/2029,0.21
,CANADIAN IMPERIAL BK OF COMM 3.65%/VAR 01/13/2032,0.20
,ROYAL BANK OF CANADA 5.096%/VAR 04/03/2034,0.20
,ROYAL BANK OF CANADA 5.228% 06/24/2030,0.20
,TELUS CORPORATION 5.25% 11/15/2032,0.20
,MANULIFE FINANCIAL CORP 4.1%/VAR 03/19/2082,0.20
,NATIONAL GRID ELEC TRANSM PLC 2.301% 06/22/2029 REGS,0.20
,ENBRIDGE INC 3.2% 06/08/2027,0.20
,PEMBINA PIPELINE CORP 4.24% 06/15/2027 REGS,0.20
,TELUS CORPORATION 4.65% 08/13/2031,0.20
,QUEBEC PROVINCE CDA 3.1% 12/01/2051,0.20
,MCDONALDS CORP 4.857% 05/21/2031,0.20
,CANADA GOVERNMENT OF 3.75% 06/01/2059,0.20
,INTER PIPELINE LTD 4.651% 02/13/2036,0.20
,KEYERA CORP 3.934% 06/21/2028,0.20
,BRITISH COLUMBIA PROVINCE CDA 4% 06/18/2035,0.20
,TORONTO DOMINION BANK 4.002%/VAR 10/31/2030,0.19
,BELL TELEPHONE CO OF CANADA OR BELL CANADA/THE 2.2% 05/29/2028,0.19
,BANK OF MONTREAL QUE 4.42% 07/17/2029,0.19
,CANADIAN PAC RY CO 4% 06/13/2032,0.19
,BRITISH COLUMBIA PROVINCE CDA 2.8% 06/18/2048,0.19
,PEMBINA PIPELINE CORP 4.02% 03/27/2028 REGS,0.19
,ONTARIO PROVINCE CDA 2.9% 06/02/2028,0.19
,FORD CREDIT CANADA CO CIE CREDIT FORD DU CANADA 5.582% 05/23/2031,0.19
,ALBERTA PROVINCE CDA 3.05% 12/01/2048,0.19
,TORONTO DOMINION BANK 5.909%/VAR 01/31/2085,0.19
,TELUS CORPORATION 2.85% 11/13/2031 REGS,0.19
,QUEBEC PROVINCE CDA 2.3% 09/01/2029,0.19
,CANADIAN NATL RESOURCES LTD 4.55% 02/08/2036,0.18
,ROGERS COMMUNICATIONS INC 5.7% 09/21/2028,0.18
,NATIONAL BANK OF CANADA 4.333%/VAR 08/15/2035,0.18
,LOBLAW COS LTD 3.564% 12/12/2029,0.18
,CREDIT AGRICOLE SA 4.186%/VAR 10/15/2035,0.18
,BELL TELEPHONE CO OF CANADA OR BELL CANADA/THE 3.8% 08/21/2028,0.18
,ONTARIO POWER GENERATION INC 2.977% 09/13/2029,0.18
,VENTAS CDA FIN LTD 2.45% 01/04/2027,0.18
,SAGEN MI CANADA INC 2.955% 03/01/2027,0.18
,LOBLAW COS LTD 4.387% 06/16/2035,0.18
,BRUCE POWER LP 4.132% 06/21/2033,0.18
,ROGERS COMMUNICATIONS INC 5.9% 09/21/2033,0.18
,ONTARIO PROVINCE CDA 2.65% 12/02/2050,0.18
,BANK OF MONTREAL QUE 7.325%/VAR 11/26/2082,0.18
,BELL TELEPHONE CO OF CANADA OR BELL CANADA/THE 5.25% 03/15/2029,0.18
,TRANSCANADA PIPELINES LTD 5.2%/VAR 02/15/2056,0.18
,BELL TELEPHONE CO OF CANADA OR BELL CANADA/THE 3.6% 09/29/2027,0.17
,FAIRFAX FINANCIAL HLDGS LTD 4.25% 12/06/2027,0.17
,FAIRFAX FINANCIAL HLDGS LTD 3.95% 03/03/2031,0.17
,TORONTO DOMINION BANK 5.918%/VAR 07/31/2086,0.17
,METRO INC 3.998% 11/27/2029,0.17
,BRITISH COLUMBIA PROVINCE CDA 1.55% 06/18/2031,0.17
,ONTARIO PROVINCE CDA 3.8% 12/02/2034,0.17
,BRITISH COLUMBIA PROVINCE CDA 4.6% 06/18/2057,0.17
,CANADIAN PAC RY CO 4.4% 01/13/2036,0.17
,MCDONALDS CORP 4.107% 08/21/2032,0.17
,ENBRIDGE INC 4.35% 02/26/2036,0.17
,VW CREDIT CANADA INC 5.73% 09/20/2028 REGS,0.17
,GLENCORE FINANCE CANADA LTD 4.045% 10/10/2032,0.17
,EQUINIX CANADA FINANCING LTD 4.75% 05/15/2035,0.17
,NATIONAL BANK OF CANADA 4.26%/VAR 02/15/2035,0.17
,PEMBINA PIPELINE CORP 3.31% 02/01/2030,0.17
,INTER PIPELINE LTD/AB 3.983% 11/25/2031,0.16
,ROGERS COMMUNICATIONS INC 5.8% 09/21/2030,0.16
,QUEBEC PROVINCE CDA 1.5% 09/01/2031,0.16
,HYDRO-QUEBEC 3.55% 09/01/2032,0.16
,ALBERTA PROVINCE CDA 3.1% 06/01/2050,0.16
,CANADIAN IMPERIAL BK OF COMM 7.15%/VAR 07/28/2082,0.16
,CANADIAN IMPERIAL BK OF COMM 4.15%/VAR 04/02/2035,0.16
,MONDELEZ INTL INC 4.625% 07/03/2031,0.16
,ENBRIDGE INC 5%/VAR 01/19/2082,0.16
,VW CREDIT CANADA INC 4.21% 08/19/2027,0.16
,ONTARIO PROVINCE CDA 4.05% 02/02/2032,0.16
,MANITOBA PROVINCE CDA 4.1% 03/05/2041,0.16
,407 INTERNATIONAL INC 5.75% 02/14/2036,0.16
,ONTARIO POWER GENERATION INC 4.319% 03/13/2035,0.16
,ONTARIO PROVINCE CDA 4.1% 03/04/2033,0.16
,TELUS CORPORATION 5.1% 02/15/2034,0.16
,ENBRIDGE INC 5.15%/VAR 12/17/2055,0.16
,ENBRIDGE INC 4.9% 05/26/2028,0.16
,BRITISH COLUMBIA PROVINCE CDA 2.95% 06/18/2050,0.16
,TRANSCANADA PIPELINES LTD 4.609% 06/24/2036,0.15
,KEYERA CORP 4.569% 10/15/2035,0.15
,BRITISH COLUMBIA PROVINCE CDA 4.25% 12/18/2053,0.15
,EQUINIX CANADA FINANCING LTD 4% 11/15/2032,0.15
,CAPITAL PWR CORP 5.973% 01/25/2034,0.15
,BRUCE POWER LP 4.99% 12/21/2032,0.15
,BRITISH COLUMBIA PROVINCE CDA 3.2% 06/18/2044,0.15
,GENERAL MTRS FINL CDA LTD 4.45% 02/25/2030,0.15
,VIDEOTRON LTD 5% 07/15/2034,0.15
,ENBRIDGE INC 3.9% 02/25/2030,0.15
,INTER PIPELINE LTD/AB 6.38% 02/17/2033,0.15
,NOVA SCOTIA POWER INC 4.951% 11/15/2032,0.15
,SAPUTO INC 5.25% 11/29/2029,0.15
,BELL TELEPHONE CO OF CANADA OR BELL CANADA/THE 4.55% 02/09/2030,0.15
,TELUS CORPORATION 2.05% 10/07/2030,0.15
,HYDRO-QUEBEC 4% 02/15/2063,0.15
,BANK OF MONTREAL QUE 4.309% 06/01/2027,0.15
,TRANSCANADA PIPELINES LTD 5.33% 05/12/2032,0.15
,INTER PIPELINE LTD/AB 6.59% 02/09/2034,0.15
,CENOVUS ENERGY INC 4.25% 03/20/2033,0.15
,ENBRIDGE INC 6.1% 11/09/2032,0.15
,FORD CREDIT CANADA CO CIE CREDIT FORD DU CANADA 5.668% 02/20/2030,0.15
,KEYERA CORP 5.022% 03/28/2032,0.15
,ALBERTA PROVINCE CDA 3.15% 06/01/2032,0.15
,BANK OF MONTREAL QUE 5.625%/VAR 05/26/2082,0.14
,CAPITAL PWR CORP 4.424% 02/08/2030,0.14
,ALBERTA PROVINCE CDA 4.15% 06/01/2033,0.14
,CNH INDUSTRIAL CAPITAL CANADA LTD 4% 04/11/2028,0.14
,BROOKFIELD INFRASTRUCTURE FINANCE ULC 5.616% 11/14/2027,0.14
,CANADIAN IMPERIAL BK OF COMM 5.35%/VAR 04/20/2033,0.14
,MANITOBA PROVINCE CDA 4.4% 09/05/2055,0.14
,SOUTH BOW CANADIAN INFRASTRUCTURE HOLDINGS LTD 4.933% 02/01/2035,0.14
,TORONTO DOMINION BANK 1.896% 09/11/2028,0.14
,NATIONAL BANK OF CANADA 5.279%/VAR 02/15/2034,0.14
,FEDERATION DES CAISE DESJARDIN 3.804% 09/24/2029,0.14
,GENERAL MTRS FINL CDA LTD 5.1% 07/14/2028,0.14
,VERIZON COMMUNICATIONS INC 2.5% 05/16/2030,0.14
,ROGERS COMMUNICATIONS INC 4.25% 04/15/2032,0.14
