Ticker,HoldingName,WeightPct
,"SOBEYS INC 3.1% 10/30/2028",0.04
,"HYDRO ONE INC 4.25% 01/04/2035",0.04
,"GENERAL MTRS FINL CDA LTD 3.75% 02/20/2031",0.04
,"SUNCOR ENERGY INC 5.4% 11/17/2026",0.04
,"METRO INC 3.39% 12/06/2027",0.04
,"ENMAX CORP 3.876% 10/18/2029",0.04
,"TOYOTA CR CDA INC 3.36% 05/23/2028",0.04
,"ENBRIDGE INC 5.375%/VAR 09/27/2077",0.04
,"ONTARIO PROVINCE CDA 3.65% 02/03/2034",0.04
,"BROOKFIELD RENEWABLE PARTNERS ULC 4.256% 08/13/2031",0.04
,"GRANITE REIT HLDGS LTD PRTNR 2.194% 08/30/2028",0.04
,"BROOKFIELD FINANCE II INC 4.803% 04/21/2036",0.04
,"HONDA CDA FIN INC 4.9% 06/04/2029",0.04
,"BELL TELEPHONE CO OF CANADA OR BELL CANADA/THE 5.15% 11/14/2028 REGS",0.04
,"ROGERS COMMUNICATIONS INC 3.8% 03/01/2027",0.04
,"BANK OF MONTREAL QUE 4.166%/VAR 06/15/2034",0.04
,"QUEBEC PROVINCE CDA 2.75% 09/01/2027",0.04
,"BELL TELEPHONE CO OF CANADA OR BELL CANADA/THE 1.65% 08/16/2027",0.04
,"MANULIFE FINANCIAL CORP 5.054%/VAR 02/23/2034",0.04
,"FEDERATION DES CAISE DESJARDIN 5.035%/VAR 08/23/2032",0.04
,"COREBRIDGE GBL FUNDING 3.758% 06/24/2030 REGS",0.04
,"SASKATCHEWAN PROV CDA 3.9% 06/02/2033",0.04
,"VW CREDIT CANADA INC 3.81% 11/19/2030",0.04
,"GREATER TORONTO ARPTS AUTH 3.26% 06/01/2037",0.04
,"BANK OF MONTREAL QUE 4.537% 12/18/2028",0.04
,"COASTAL GASLINK PIPELINE LP 5.606% 03/30/2047",0.04
,"BROOKFIELD INFRASTRUCTURE FINANCE ULC 5.598%/VAR 09/01/2055",0.04
,"NORTH WEST REDWATER PARTNERSHIP / NWR FINANCING CO LTD 4.15% 06/01/2033 REGS",0.04
,"SUN LIFE FINL INC 5.5%/VAR 07/04/2035",0.04
,"GILDAN ACTIVEWEAR INC 4.711% 11/22/2031",0.04
,"NEWFOUNDLAND PROVINCE CDA 2.65% 10/17/2050",0.04
,"TOYOTA CR CDA INC 4.46% 03/19/2029",0.04
,"CGI INC 2.1% 09/18/2028",0.04
,"FORD CREDIT CANADA CO CIE CREDIT FORD DU CANADA 4.222% 01/10/2028",0.04
,"ATHENE GLOBAL FUNDING 4.091% 05/23/2030",0.04
,"ROYAL BANK OF CANADA 4.632% 05/01/2028",0.04
,"CANADIAN IMPERIAL BK OF COMM 5.05% 10/07/2027",0.04
,"TORONTO DOMINION BANK 3.842%/VAR 05/29/2031",0.04
,"407 INTERNATIONAL INC 4.48% 10/07/2036",0.04
,"IA FINANCIAL CORP INC 5.685%/VAR 06/20/2033",0.04
,"ATCO LTD 3.878% 05/27/2030",0.04
,"SASKATCHEWAN PROV CDA 2.8% 12/02/2052",0.04
,"CANADIAN UTILITIES LTD 4.412% 06/24/2035",0.04
,"TRISUMMIT UTILITIES INC 3.71% 02/14/2031",0.03
,"NEW BRUNSWICK PROVINCE CANADA 3.55% 06/03/2043",0.03
,"NEWFOUNDLAND PROVINCE CDA 3.7% 10/17/2048",0.03
,"ENBRIDGE INC 7.2% 06/18/2032",0.03
,"INTACT FINL CORP 4.653%/VAR 05/16/2034",0.03
,"SUN LIFE FINL INC 5.12%/VAR 05/15/2036",0.03
,"NEW BRUNSWICK PROVINCE CANADA 3.1% 08/14/2048",0.03
,"TOYOTA CR CDA INC 3.31% 08/18/2028",0.03
,"SASKATCHEWAN PROV CDA 3.9% 06/02/2045",0.03
,"HYUNDAI CAPITAL CANADA INC 3.196% 02/16/2027",0.03
,"GOLDMAN SACHS GROUP INC (THE) 4.34%/VAR 03/05/2037",0.03
,"TELUS CORPORATION 5.95% 09/08/2053",0.03
,"NEWFOUNDLAND PROVINCE CDA 4.15% 06/02/2033",0.03
,"NOVA SCOTIA PROVINCE CDA 4.05% 06/01/2033",0.03
,"CANADIAN NATL RESOURCES LTD 2.5% 01/17/2028",0.03
,"ROYAL BANK OF CANADA 4.371%/VAR 05/01/2037 REGS",0.03
,"TRANSCANADA PIPELINES LTD 2.97% 06/09/2031",0.03
,"HYUNDAI CAPITAL CANADA INC 5.565% 03/08/2028",0.03
