TICKER,PORTFOLIO_MWEIGHT,POSITION,SECURITY_NAME,GICS_SECTOR_NAME,GICS_SECTOR_NAME_FR,COUNTRY,COUNTRY_FR,LAST_PRICE,VALUE,BTC Per Share,Shares Per BTC
"MU US EQUITY",5.82E-02,55.82042413,"Micron Technology Inc",Technology,Technologie,"United States",États-Unis,977.5000,76330.22948,,
"TEAM US EQUITY",1.22E-05,0.059467781,"Atlassian Corp",Technology,Technologie,Australia,Australie,192.5300,16.01645756,,
"LRCX US EQUITY",1.85E-02,64.41351854,"Lam Research Corp",Technology,Technologie,"United States",États-Unis,269.3100,24267.00466,,
"MPWR US EQUITY",2.94E-03,2.358888662,"Monolithic Power Systems Inc",Technology,Technologie,"United States",États-Unis,"1,169.5800",3859.437802,,
"TER US EQUITY",3.00E-03,7.958771409,"Teradyne Inc",Technology,Technologie,"United States",États-Unis,353.1300,3931.581834,,
"APP US EQUITY",5.73E-03,16.71044657,"AppLovin Corp",Technology,Technologie,"United States",États-Unis,321.6000,7517.799969,,
"AAPL US 09/18/26 C335 EQUITY",-5.49E-04,-1.585807504,"Apple Inc - CALL Option",Technology,Technologie,"United States",États-Unis,3.2500,-720.8288007,,
"ADSK US 09/18/26 C272.5 EQUITY",-4.65E-06,-0.039645188,"Autodesk Inc - CALL Option",Technology,Technologie,"United States",États-Unis,1.1000,-6.095447592,,
"ALAB US 09/18/26 C292.5 EQUITY",-1.95E-05,-0.029733891,"Astera Labs Inc - CALL Option",Technology,Technologie,"United States",États-Unis,6.1400,-25.53150081,,
"AMAT US 09/18/26 C515 EQUITY",-5.74E-07,-0.178403344,"Applied Materials Inc - CALL Option",Technology,Technologie,"United States",États-Unis,0.0300,-0.753258564,,
"ADBE US 09/18/26 C297.5 EQUITY",-8.31E-08,-0.079290375,"Adobe Inc - CALL Option",Technology,Technologie,"United States",États-Unis,0.0100,-0.109024266,,
"ADI US 09/18/26 C390 EQUITY",-2.33E-06,-0.109024266,"Analog Devices Inc - CALL Option",Technology,Technologie,"United States",États-Unis,0.2000,-3.052679444,,
"AMD US 09/18/26 C490 EQUITY",-2.54E-03,-0.426185767,"Advanced Micro Devices Inc - CALL Option",Technology,Technologie,"United States",États-Unis,56.0100,-3338.570803,,
"APP US 09/18/26 C320 EQUITY",-3.08E-05,-0.059467781,"AppLovin Corp - CALL Option",Technology,Technologie,"United States",États-Unis,4.8600,-40.41826875,,
"ARM US 09/18/26 C252.5 EQUITY",-1.50E-04,-0.109024266,"ARM Holdings PLC - CALL Option",Technology,Technologie,Britain,Grande-Bretagne,12.9300,-197.1555179,,
"ASML US 09/18/26 C1860 EQUITY",-8.31E-08,-0.009911297,"ASML Holding NV - CALL Option",Technology,Technologie,Netherlands,Pays-Bas,0.0800,-0.109024266,,
"AVGO US 09/18/26 C387.5 EQUITY",-2.24E-06,-1.050597471,"Broadcom Inc - CALL Option",Technology,Technologie,"United States",États-Unis,0.0200,-2.943655178,,
"TER US 09/18/26 C380 EQUITY",-7.33E-07,-0.029733891,"Teradyne Inc - CALL Option",Technology,Technologie,"United States",États-Unis,0.2300,-0.961395799,,
"TRI US 09/18/26 C115 EQUITY",-4.22E-06,-0.099112969,"Thomson Reuters Corp - CALL Option",Technology,Technologie,Canada,Canada,0.4000,-5.540414966,,
"TXN US 09/18/26 C275 EQUITY",-1.56E-06,-0.208137235,"Texas Instruments Inc - CALL Option",Technology,Technologie,"United States",États-Unis,0.0700,-2.041727161,,
"WDAY US 09/18/26 C215 EQUITY",-1.06E-06,-0.049556484,"Workday Inc - CALL Option",Technology,Technologie,"United States",États-Unis,0.2000,-1.387581566,,
"WDC US 09/18/26 C460 EQUITY",-3.04E-06,-0.079290375,"Western Digital Corp - CALL Option",Technology,Technologie,"United States",États-Unis,0.3600,-3.99425265,,
