Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","1,880,089.61","0.55","1,880,089.61","7,057.00","266.41","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"GS","GOLDMAN SACHS GROUP","Financials","Equity","1,777,913.42","0.52","1,777,913.42","1,336.00","1,330.76","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"WFC","WELLS FARGO","Financials","Equity","1,677,339.10","0.49","1,677,339.10","13,802.00","121.53","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"RTX","RTX","Industrials","Equity","1,647,177.38","0.48","1,647,177.38","6,085.00","270.69","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"ORCL","ORACLE","Information Technology","Equity","1,620,741.70","0.47","1,620,741.70","7,695.00","210.62","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"CRWD","CROWDSTRIKE HOLDINGS CLASS A","Information Technology","Equity","1,579,063.96","0.46","1,579,063.96","4,595.00","343.65","United States","NASDAQ","CAD","0.71","USD"
"GEV","GE VERNOVA","Industrials","Equity","1,574,376.12","0.46","1,574,376.12","1,217.00","1,293.64","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"MS","MORGAN STANLEY","Financials","Equity","1,549,082.98","0.45","1,549,082.98","5,442.00","284.65","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","1,545,034.05","0.45","1,545,034.05","1,678.00","920.75","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"SNDK","SANDISK","Information Technology","Equity","1,517,353.54","0.44","1,517,353.54","672.00","2,257.95","United States","NASDAQ","CAD","0.71","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","1,488,237.84","0.43","1,488,237.84","4,122.00","361.05","United States","NASDAQ","CAD","0.71","USD"
"C","CITIGROUP","Financials","Equity","1,434,509.01","0.42","1,434,509.01","7,729.00","185.60","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES","Information Technology","Equity","1,411,253.24","0.41","1,411,253.24","4,244.00","332.53","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"KLAC","KLA","Information Technology","Equity","1,393,483.50","0.41","1,393,483.50","5,896.00","236.34","United States","NASDAQ","CAD","0.71","USD"
"LIN","LINDE PLC","Materials","Equity","1,344,707.65","0.39","1,344,707.65","2,097.00","641.25","United States","NASDAQ","CAD","0.71","USD"
"MRVL","MARVELL TECHNOLOGY","Information Technology","Equity","1,331,129.16","0.39","1,331,129.16","3,953.00","336.74","United States","NASDAQ","CAD","0.71","USD"
"ANET","ARISTA NETWORKS","Information Technology","Equity","1,303,827.35","0.38","1,303,827.35","4,672.00","279.07","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"AMGN","AMGEN INC","Health Care","Equity","1,296,077.48","0.38","1,296,077.48","2,440.00","531.18","United States","NASDAQ","CAD","0.71","USD"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","1,275,821.14","0.37","1,275,821.14","18,874.00","67.60","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"CRM","SALESFORCE","Information Technology","Equity","1,260,486.25","0.37","1,260,486.25","3,711.00","339.66","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"QCOM","QUALCOMM","Information Technology","Equity","1,259,782.00","0.37","1,259,782.00","4,773.00","263.94","United States","NASDAQ","CAD","0.71","USD"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","1,215,818.53","0.35","1,215,818.53","11,092.00","109.61","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"GILD","GILEAD SCIENCES","Health Care","Equity","1,186,057.72","0.35","1,186,057.72","5,620.00","211.04","United States","NASDAQ","CAD","0.71","USD"
"DIS","WALT DISNEY","Communication","Equity","1,160,953.14","0.34","1,160,953.14","7,879.00","147.35","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"PEP","PEPSICO","Consumer Staples","Equity","1,155,124.25","0.34","1,155,124.25","6,179.00","186.94","United States","NASDAQ","CAD","0.71","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","1,139,023.94","0.33","1,139,023.94","1,014.00","1,123.29","United States","NASDAQ","CAD","0.71","USD"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","1,124,998.03","0.33","1,124,998.03","7,868.00","142.98","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"ADI","ANALOG DEVICES","Information Technology","Equity","1,121,464.35","0.33","1,121,464.35","2,211.00","507.22","United States","NASDAQ","CAD","0.71","USD"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","1,118,372.62","0.33","1,118,372.62","3,218.00","347.53","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"T","AT&T","Communication","Equity","1,115,600.79","0.33","1,115,600.79","31,415.00","35.51","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"DE","DEERE","Industrials","Equity","1,091,292.38","0.32","1,091,292.38","1,138.00","958.95","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
