Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"2222","SAUDI ARABIAN OIL","Energy","Equity","14,031,455.13","0.29","14,031,455.13","1,474,403.00","9.52","Saudi Arabia","Saudi Stock Exchange","CAD","2.69","SAR"
"PDD","PDD HOLDINGS ADS","Consumer Discretionary","Equity","13,652,145.37","0.28","13,652,145.37","125,575.00","108.72","China","NASDAQ","CAD","0.71","USD"
"2881","FUBON FINANCIAL HOLDING","Financials","Equity","13,609,275.57","0.28","13,609,275.57","2,047,697.00","6.65","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"3037","UNIMICRON TECHNOLOGY","Information Technology","Equity","13,578,316.62","0.28","13,578,316.62","329,277.00","41.24","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"PETR3","PETROLEO BRASILEIRO SA PETROBRAS","Energy","Equity","13,283,882.77","0.28","13,283,882.77","907,034.00","14.65","Brazil","XBSP","CAD","3.69","BRL"
"GFI","GOLD FIELDS","Materials","Equity","13,255,578.85","0.28","13,255,578.85","218,120.00","60.77","South Africa","Johannesburg Stock Exchange","CAD","11.63","ZAR"
"1211","BYD H","Consumer Discretionary","Equity","12,986,731.72","0.27","12,986,731.72","897,700.00","14.47","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"2891","CTBC FINANCIAL HOLDING","Financials","Equity","12,734,367.72","0.26","12,734,367.72","4,077,000.00","3.12","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","12,472,006.09","0.26","12,472,006.09","706,256.00","17.66","Mexico","Bolsa Mexicana De Valores","CAD","12.29","MXN"
"1303","NAN YA PLASTICS CORP","Materials","Equity","11,957,783.02","0.25","11,957,783.02","1,155,000.00","10.35","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","11,918,772.65","0.25","11,918,772.65","32,435.00","367.47","Korea (South)","Korea Exchange (Stock Market)","CAD","987.85","KRW"
"055550","SHINHAN FINANCIAL GROUP","Financials","Equity","11,617,361.12","0.24","11,617,361.12","101,290.00","114.69","Korea (South)","Korea Exchange (Stock Market)","CAD","987.85","KRW"
"INFY","INFOSYS","Information Technology","Equity","11,445,679.70","0.24","11,445,679.70","741,633.00","15.43","India","National Stock Exchange Of India","CAD","68.59","INR"
"2882","CATHAY FINANCIAL HOLDING","Financials","Equity","11,433,286.52","0.24","11,433,286.52","2,327,000.00","4.91","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"NPN","NASPERS LIMITED CLASS N","Consumer Discretionary","Equity","11,346,933.11","0.24","11,346,933.11","184,142.00","61.62","South Africa","Johannesburg Stock Exchange","CAD","11.63","ZAR"
"3017","ASIA VITAL COMPONENTS","Information Technology","Equity","11,177,794.09","0.23","11,177,794.09","80,000.00","139.72","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"992","LENOVO GROUP","Information Technology","Equity","11,122,983.11","0.23","11,122,983.11","1,818,000.00","6.12","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"OTP","OTP BANK","Financials","Equity","10,981,448.82","0.23","10,981,448.82","52,908.00","207.56","Hungary","Budapest Stock Exchange","CAD","225.87","HUF"
"1180","THE SAUDI NATIONAL BANK","Financials","Equity","10,713,797.54","0.22","10,713,797.54","716,513.00","14.95","Saudi Arabia","Saudi Stock Exchange","CAD","2.69","SAR"
"2382","QUANTA COMPUTER","Information Technology","Equity","10,699,447.67","0.22","10,699,447.67","709,000.00","15.09","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"2887","TS FINANCIAL HOLDING","Financials","Equity","10,645,648.79","0.22","10,645,648.79","5,508,959.00","1.93","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"9618","JD.COM CLASS A","Consumer Discretionary","Equity","10,446,755.76","0.22","10,446,755.76","558,100.00","18.72","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"FSR","FIRSTRAND LTD","Financials","Equity","9,852,608.11","0.20","9,852,608.11","1,215,081.00","8.11","South Africa","Johannesburg Stock Exchange","CAD","11.63","ZAR"
"2345","ACCTON TECHNOLOGY","Information Technology","Equity","9,791,537.05","0.20","9,791,537.05","124,000.00","78.96","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"KFH","KUWAIT FINANCE HOUSE","Financials","Equity","9,684,329.83","0.20","9,684,329.83","2,773,219.00","3.49","Kuwait","Kuwait Stock Exchange","CAD","0.22","KWD"
