Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Consumer Discretionary","Equity","1,078,102.56","0.43","1,078,102.56","8,281.00","130.19","Germany","Xetra","CAD","0.62","EUR"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","1,063,286.16","0.43","1,063,286.16","8,076.00","131.66","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"4502","TAKEDA PHARMACEUTICAL","Health Care","Equity","1,056,627.10","0.42","1,056,627.10","19,788.00","53.40","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"BARC","BARCLAYS PLC","Financials","Equity","1,030,839.83","0.41","1,030,839.83","115,271.00","8.94","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"REP","REPSOL","Energy","Equity","1,028,995.78","0.41","1,028,995.78","21,523.00","47.81","Spain","Bolsa De Madrid","CAD","0.62","EUR"
"EQNR","EQUINOR","Energy","Equity","999,693.04","0.40","999,693.04","16,173.00","61.81","Norway","Oslo Bors Asa","CAD","6.73","NOK"
"6758","SONY GROUP","Consumer Discretionary","Equity","991,143.50","0.40","991,143.50","29,400.00","33.71","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"GSK","GLAXOSMITHKLINE","Health Care","Equity","989,135.28","0.40","989,135.28","27,876.00","35.48","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"8031","MITSUI","Industrials","Equity","980,492.76","0.39","980,492.76","20,900.00","46.91","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"6501","HITACHI","Industrials","Equity","978,435.35","0.39","978,435.35","19,900.00","49.17","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"INGA","ING GROEP","Financials","Equity","974,684.71","0.39","974,684.71","18,778.00","51.91","Netherlands","Euronext Amsterdam","CAD","0.62","EUR"
"UCG","UNICREDIT","Financials","Equity","972,474.09","0.39","972,474.09","7,234.00","134.43","Italy","Borsa Italiana","CAD","0.62","EUR"
"8001","ITOCHU","Industrials","Equity","968,399.77","0.39","968,399.77","45,500.00","21.28","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"ASML","ASML HOLDING","Information Technology","Equity","952,204.82","0.38","952,204.82","418.00","2,277.98","Netherlands","Euronext Amsterdam","CAD","0.62","EUR"
"SAP","SAP","Information Technology","Equity","949,550.90","0.38","949,550.90","3,144.00","302.02","Germany","Xetra","CAD","0.62","EUR"
"MAERSK B","A P MOLLER MAERSK B","Industrials","Equity","932,588.07","0.37","932,588.07","191.00","4,882.66","Denmark","Omx Nordic Exchange Copenhagen A/S","CAD","4.65","DKK"
"UBSG","UBS GROUP AG","Financials","Equity","900,943.91","0.36","900,943.91","12,667.00","71.13","Switzerland","SIX Swiss Exchange","CAD","0.59","CHF"
"ENB","ENBRIDGE","Energy","Equity","897,726.06","0.36","897,726.06","13,167.00","68.18","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","865,833.45","0.35","865,833.45","10,008.00","86.51","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"DHL","DHL AG","Industrials","Equity","863,372.38","0.35","863,372.38","9,512.00","90.77","Germany","Xetra","CAD","0.62","EUR"
