Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"RIO","RIO TINTO PLC","Materials","Equity","4,421,555.78","0.64","4,421,555.78","32,313.00","136.84","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"GSK","GLAXOSMITHKLINE","Health Care","Equity","4,365,735.71","0.63","4,365,735.71","123,036.00","35.48","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"SAN","SANOFI SA","Health Care","Equity","4,047,274.51","0.58","4,047,274.51","33,475.00","120.90","France","Nyse Euronext - Euronext Paris","CAD","0.62","EUR"
"LLOY","LLOYDS BANKING GROUP PLC","Financials","Equity","3,721,614.79","0.53","3,721,614.79","1,776,098.00","2.10","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"BARC","BARCLAYS PLC","Financials","Equity","3,681,739.44","0.53","3,681,739.44","411,701.00","8.94","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"IFX","INFINEON TECHNOLOGIES AG","Information Technology","Equity","3,510,577.73","0.50","3,510,577.73","40,170.00","87.39","Germany","Xetra","CAD","0.62","EUR"
"CS","AXA SA","Financials","Equity","3,488,397.57","0.50","3,488,397.57","48,190.00","72.39","France","Nyse Euronext - Euronext Paris","CAD","0.62","EUR"
"BA.","BAE SYSTEMS PLC","Industrials","Equity","3,428,212.64","0.49","3,428,212.64","89,852.00","38.15","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"ENEL","ENEL","Utilities","Equity","3,404,098.00","0.49","3,404,098.00","234,140.00","14.54","Italy","Borsa Italiana","CAD","0.62","EUR"
"SPOT","SPOTIFY TECHNOLOGY","Communication","Equity","3,333,656.93","0.48","3,333,656.93","4,507.00","739.66","Sweden","New York Stock Exchange Inc.","CAD","0.71","USD"
"NG.","NATIONAL GRID PLC","Utilities","Equity","3,261,011.61","0.47","3,261,011.61","150,855.00","21.62","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"NWG","NATWEST GROUP PLC","Financials","Equity","3,222,206.62","0.46","3,222,206.62","242,055.00","13.31","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","3,180,200.29","0.46","3,180,200.29","3,877.00","820.27","Germany","Xetra","CAD","0.62","EUR"
"GLEN","GLENCORE PLC","Materials","Equity","3,081,218.15","0.44","3,081,218.15","284,363.00","10.84","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"INVE B","INVESTOR CLASS B","Financials","Equity","3,034,519.59","0.44","3,034,519.59","52,437.00","57.87","Sweden","Nasdaq Omx Nordic","CAD","7.02","SEK"
"ABI","ANHEUSER-BUSCH INBEV SA","Consumer Staples","Equity","3,000,524.74","0.43","3,000,524.74","27,195.00","110.33","Belgium","Nyse Euronext - Euronext Brussels","CAD","0.62","EUR"
"DBK","DEUTSCHE BANK AG","Financials","Equity","2,885,826.40","0.41","2,885,826.40","52,456.00","55.01","Germany","Xetra","CAD","0.62","EUR"
"ITX","INDUSTRIA DE DISENO TEXTIL SA","Consumer Discretionary","Equity","2,806,310.13","0.40","2,806,310.13","33,337.00","84.18","Spain","Bolsa De Madrid","CAD","0.62","EUR"
"NDA FI","NORDEA BANK","Financials","Equity","2,678,682.84","0.38","2,678,682.84","93,308.00","28.71","Finland","Nasdaq Omx Helsinki Ltd.","CAD","0.62","EUR"
"ARGX","ARGENX","Health Care","Equity","2,667,549.93","0.38","2,667,549.93","1,913.00","1,394.42","Belgium","Nyse Euronext - Euronext Brussels","CAD","0.62","EUR"
"DG","VINCI SA","Industrials","Equity","2,605,599.52","0.37","2,605,599.52","14,366.00","181.37","France","Nyse Euronext - Euronext Paris","CAD","0.62","EUR"
"REL","RELX PLC","Industrials","Equity","2,582,903.04","0.37","2,582,903.04","53,815.00","48.00","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"DHL","DHL AG","Industrials","Equity","2,551,995.15","0.37","2,551,995.15","28,116.00","90.77","Germany","Xetra","CAD","0.62","EUR"
"AAL","ANGLO AMERICAN PLC","Materials","Equity","2,499,945.36","0.36","2,499,945.36","33,028.00","75.69","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"DB1","DEUTSCHE BOERSE AG","Financials","Equity","2,495,600.30","0.36","2,495,600.30","5,552.00","449.49","Germany","Xetra","CAD","0.62","EUR"
"STAN","STANDARD CHARTERED PLC","Financials","Equity","2,353,231.32","0.34","2,353,231.32","53,895.00","43.66","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"RHM","RHEINMETALL AG","Industrials","Equity","2,352,453.42","0.34","2,352,453.42","1,441.00","1,632.50","Germany","Xetra","CAD","0.62","EUR"
"BAYN","BAYER AG","Health Care","Equity","2,347,553.18","0.34","2,347,553.18","29,798.00","78.78","Germany","Xetra","CAD","0.62","EUR"
