Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"NDAQ","NASDAQ INC","Financials","Equity","336,006.93","0.52","336,006.93","2,631.00","127.71","United States","NASDAQ","CAD","0.71","USD"
"XYZ","BLOCK CLASS A","Financials","Equity","335,731.01","0.52","335,731.01","3,139.00","106.95","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","335,658.59","0.52","335,658.59","2,035.00","164.94","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"MSCI","MSCI","Financials","Equity","328,156.42","0.51","328,156.42","427.00","768.51","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"AIG","AMERICAN INTERNATIONAL GROUP","Financials","Equity","326,864.28","0.51","326,864.28","3,088.00","105.85","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Equity","324,483.30","0.50","324,483.30","2,625.00","123.61","United States","NASDAQ","CAD","0.71","USD"
"COIN","COINBASE GLOBAL INC CLASS A","Financials","Equity","318,509.99","0.49","318,509.99","1,309.00","243.32","United States","NASDAQ","CAD","0.71","USD"
"HIG","HARTFORD INSURANCE GROUP","Financials","Equity","298,318.45","0.46","298,318.45","1,602.00","186.21","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"ACGL","ARCH CAPITAL GROUP","Financials","Equity","276,179.39","0.43","276,179.39","2,042.00","135.25","United States","NASDAQ","CAD","0.71","USD"
"MTB","M&T BANK","Financials","Equity","271,641.44","0.42","271,641.44","858.00","316.60","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"NTRS","NORTHERN TRUST","Financials","Equity","267,027.82","0.41","267,027.82","1,079.00","247.48","United States","NASDAQ","CAD","0.71","USD"
"HBAN","HUNTINGTON BANCSHARES INC","Financials","Equity","263,839.27","0.41","263,839.27","11,879.00","22.21","United States","NASDAQ","CAD","0.71","USD"
"WTW","WILLIS TOWERS WATSON","Financials","Equity","240,536.29","0.37","240,536.29","553.00","434.96","United States","NASDAQ","CAD","0.71","USD"
"CFG","CITIZENS FINANCIAL GROUP INC","Financials","Equity","233,469.69","0.36","233,469.69","2,477.00","94.25","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"RJF","RAYMOND JAMES","Financials","Equity","233,408.99","0.36","233,408.99","1,019.00","229.06","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"CBOE","CBOE GLOBAL MARKETS","Financials","Equity","229,008.49","0.35","229,008.49","614.00","372.98","United States","Cboe BZX","CAD","0.71","USD"
"CPAY","CORPAY","Financials","Equity","218,251.44","0.34","218,251.44","386.00","565.41","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"ARES","ARES MANAGEMENT CLASS A","Financials","Equity","216,294.06","0.33","216,294.06","1,234.00","175.28","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"FISV","FISERV INC","Financials","Equity","214,376.26","0.33","214,376.26","3,109.00","68.95","United States","NASDAQ","CAD","0.71","USD"
"CINF","CINCINNATI FINANCIAL","Financials","Equity","214,342.83","0.33","214,342.83","902.00","237.63","United States","NASDAQ","CAD","0.71","USD"
"SYF","SYNCHRONY FINANCIAL","Financials","Equity","205,441.18","0.32","205,441.18","1,974.00","104.07","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"RF","REGIONS FINANCIAL","Financials","Equity","198,849.09","0.31","198,849.09","4,992.00","39.83","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"PFG","PRINCIPAL FINANCIAL GROUP INC","Financials","Equity","187,456.36","0.29","187,456.36","1,156.00","162.16","United States","NASDAQ","CAD","0.71","USD"
"TROW","T ROWE PRICE GROUP","Financials","Equity","180,227.97","0.28","180,227.97","1,253.00","143.84","United States","NASDAQ","CAD","0.71","USD"
"WRB","WR BERKLEY","Financials","Equity","170,108.71","0.26","170,108.71","1,735.00","98.04","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"GPN","GLOBAL PAYMENTS INC","Financials","Equity","161,967.03","0.25","161,967.03","1,356.00","119.44","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"USD","USD CASH","Cash and/or Derivatives","Cash","158,523.45","0.25","158,523.45","113,340.00","139.86","United States","-","CAD","0.71","USD"
"KEY","KEYCORP","Financials","Equity","157,496.73","0.24","157,496.73","5,375.00","29.30","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Financials","Equity","155,304.19","0.24","155,304.19","3,048.00","50.95","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"BRO","BROWN & BROWN INC","Financials","Equity","154,562.91","0.24","154,562.91","1,697.00","91.08","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"L","LOEWS","Financials","Equity","151,557.71","0.23","151,557.71","1,000.00","151.56","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"EG","EVEREST GROUP","Financials","Equity","124,938.89","0.19","124,938.89","235.00","531.65","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"AIZ","ASSURANT INC","Financials","Equity","115,115.75","0.18","115,115.75","290.00","396.95","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"GL","GLOBE LIFE","Financials","Equity","111,551.26","0.17","111,551.26","463.00","240.93","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"IVZ","INVESCO LTD","Financials","Equity","108,711.25","0.17","108,711.25","2,572.00","42.27","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"JKHY","JACK HENRY AND ASSOCIATES INC","Financials","Equity","91,325.94","0.14","91,325.94","418.00","218.48","United States","NASDAQ","CAD","0.71","USD"
"FDS","FACTSET RESEARCH SYSTEMS","Financials","Equity","83,852.91","0.13","83,852.91","215.00","390.01","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"BEN","FRANKLIN TEMPLETON","Financials","Equity","83,487.31","0.13","83,487.31","1,805.00","46.25","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"ERIE","ERIE INDEMNITY CLASS A","Financials","Equity","49,563.33","0.08","49,563.33","145.00","341.81","United States","NASDAQ","CAD","0.71","USD"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","-6,687.53","-0.01","-6,687.53","-6,688.00","100.00","Canada","-","CAD","1.00","CAD"
 
