Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"MRU","METRO","Consumer Staples","Equity","1,023,478.20","0.66","1,023,478.20","11,149.00","91.80","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SHOP","SHOPIFY SUBORDINATE VOTING CLASS A","Information Technology","Equity","1,000,675.59","0.64","1,000,675.59","5,559.00","180.01","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WCN","WASTE CONNECTIONS","Industrials","Equity","992,661.11","0.64","992,661.11","4,573.00","217.07","United States","Toronto Stock Exchange","CAD","1.00","CAD"
"WFG","WEST FRASER TIMBER","Materials","Equity","939,149.20","0.61","939,149.20","9,220.00","101.86","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CTC.A","CANADIAN TIRE LTD CLASS A","Consumer Discretionary","Equity","924,140.91","0.60","924,140.91","4,893.00","188.87","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"QSR","RESTAURANTS BRANDS INTERNATIONAL","Consumer Discretionary","Equity","894,475.80","0.58","894,475.80","8,730.00","102.46","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ALA","ALTAGAS","Utilities","Equity","846,079.08","0.55","846,079.08","15,862.00","53.34","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EMA","EMERA INC","Utilities","Equity","822,894.00","0.53","822,894.00","11,926.00","69.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GWO","GREAT WEST LIFECO INC","Financials","Equity","794,561.68","0.51","794,561.68","8,488.00","93.61","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IAG","IA FINANCIAL INC","Financials","Equity","786,850.56","0.51","786,850.56","3,681.00","213.76","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WN","GEORGE WESTON","Consumer Staples","Equity","753,854.86","0.49","753,854.86","7,433.00","101.42","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TFII","TFI INTERNATIONAL","Industrials","Equity","681,485.66","0.44","681,485.66","3,869.00","176.14","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WPM","WHEATON PRECIOUS METALS","Materials","Equity","671,896.62","0.43","671,896.62","3,154.00","213.03","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CSU","CONSTELLATION SOFTWARE","Information Technology","Equity","653,706.90","0.42","653,706.90","231.00","2,829.90","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FNV","FRANCO NEVADA","Materials","Equity","614,391.05","0.40","614,391.05","1,645.00","373.49","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FTT","FINNING INTERNATIONAL INC","Industrials","Equity","608,647.50","0.39","608,647.50","6,390.00","95.25","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LUN","LUNDIN MINING","Materials","Equity","596,863.74","0.38","596,863.74","17,967.00","33.22","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"OTEX","OPEN TEXT","Information Technology","Equity","594,320.64","0.38","594,320.64","18,048.00","32.93","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"T","TELUS","Communication","Equity","570,327.92","0.37","570,327.92","45,736.00","12.47","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TRI","THOMSON REUTERS CORP","Industrials","Equity","569,925.74","0.37","569,925.74","4,094.00","139.21","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KEY","KEYERA","Energy","Equity","550,330.74","0.35","550,330.74","10,233.00","53.78","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SAP","SAPUTO","Consumer Staples","Equity","543,663.12","0.35","543,663.12","13,578.00","40.04","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WSP","WSP GLOBAL INC","Industrials","Equity","536,951.24","0.35","536,951.24","2,972.00","180.67","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BTO","B2GOLD","Materials","Equity","510,885.85","0.33","510,885.85","67,667.00","7.55","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"H","HYDRO ONE","Utilities","Equity","510,870.72","0.33","510,870.72","9,832.00","51.96","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EMP.A","EMPIRE CLASS A","Consumer Staples","Equity","503,159.80","0.32","503,159.80","10,604.00","47.45","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CCL.B","CCL INDUSTRIES CLASS B","Materials","Equity","502,752.00","0.32","502,752.00","5,237.00","96.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","483,357.32","0.31","483,357.32","483,357.00","100.00","Canada","-","CAD","1.00","CAD"
"BTE","BAYTEX ENERGY","Energy","Equity","475,442.59","0.31","475,442.59","70,021.00","6.79","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SSRM","SSR MINING","Materials","Equity","451,732.88","0.29","451,732.88","8,924.00","50.62","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MX","METHANEX CORP","Materials","Equity","449,131.57","0.29","449,131.57","5,261.00","85.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"K","KINROSS GOLD","Materials","Equity","440,603.37","0.28","440,603.37","11,051.00","39.87","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PAAS","PAN AMERICAN SILVER","Materials","Equity","431,277.14","0.28","431,277.14","6,209.00","69.46","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"REI.UN","RIOCAN REAL ESTATE INVESTMENT TRUS","Real Estate","Equity","429,692.71","0.28","429,692.71","20,869.00","20.59","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AQN","ALGONQUIN POWER UTILITIES","Utilities","Equity","427,510.46","0.28","427,510.46","56,699.00","7.54","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PXT","PAREX RESOURCES","Energy","Equity","425,796.85","0.27","425,796.85","14,935.00","28.51","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"QBR.B","QUEBECOR CLASS B","Communication","Equity","417,806.40","0.27","417,806.40","6,560.00","63.69","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TIH","TOROMONT INDUSTRIES LTD","Industrials","Equity","406,209.54","0.26","406,209.54","1,979.00","205.26","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ACO.X","ATCO CLASS I","Utilities","Equity","406,151.34","0.26","406,151.34","5,547.00","73.22","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DOL","DOLLARAMA","Consumer Discretionary","Equity","399,570.75","0.26","399,570.75","2,313.00","172.75","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"VET","VERMILION ENERGY","Energy","Equity","399,165.69","0.26","399,165.69","22,539.00","17.71","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GIL","GILDAN ACTIVEWEAR","Consumer Discretionary","Equity","388,125.84","0.25","388,125.84","5,997.00","64.72","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CLS","CELESTICA","Information Technology","Equity","381,512.88","0.25","381,512.88","826.00","461.88","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NPI","NORTHLAND POWER INC","Utilities","Equity","348,981.36","0.22","348,981.36","15,979.00","21.84","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"RBA","RB GLOBAL","Industrials","Equity","342,860.10","0.22","342,860.10","2,913.00","117.70","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CPX","CAPITAL POWER CORP","Utilities","Equity","341,632.90","0.22","341,632.90","5,537.00","61.70","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GFL","GFL ENVIRONMENTAL SUBORDINATE VOTI","Industrials","Equity","340,264.69","0.22","340,264.69","5,627.00","60.47","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GEI","GIBSON ENERGY","Energy","Equity","329,173.64","0.21","329,173.64","10,306.00","31.94","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CAR.UN","CANADIAN APARTMENT PROPERTIES REAL","Real Estate","Equity","327,767.40","0.21","327,767.40","10,356.00","31.65","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BHC","BAUSCH HEALTH COMPANIES","Health Care","Equity","327,167.28","0.21","327,167.28","41,309.00","7.92","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"RUS","RUSSEL METALS","Industrials","Equity","320,671.75","0.21","320,671.75","4,025.00","79.67","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CU","CANADIAN UTILITIES LTD CLASS A","Utilities","Equity","304,926.84","0.20","304,926.84","5,986.00","50.94","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EFN","ELEMENT FLEET MANAGEMENT","Industrials","Equity","300,459.60","0.19","300,459.60","11,923.00","25.20","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATRL","ATKINSREALIS GROUP INC","Industrials","Equity","299,679.60","0.19","299,679.60","3,421.00","87.60","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CCO","CAMECO","Energy","Equity","289,238.96","0.19","289,238.96","2,228.00","129.82","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ONEX","ONEX","Financials","Equity","281,974.25","0.18","281,974.25","2,581.00","109.25","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"X","TMX GROUP LTD","Financials","Equity","267,355.74","0.17","267,355.74","5,034.00","53.11","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LNR","LINAMAR","Consumer Discretionary","Equity","267,100.38","0.17","267,100.38","2,682.00","99.59","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CAE","CAE","Industrials","Equity","263,335.20","0.17","263,335.20","7,768.00","33.90","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"STN","STANTEC","Industrials","Equity","217,349.21","0.14","217,349.21","2,197.00","98.93","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"HR.UN","HANDR REAL ESTATE INVESTMENT TRUST","Real Estate","Equity","206,640.00","0.13","206,640.00","21,525.00","9.60","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SJ","STELLA JONES","Materials","Equity","192,708.80","0.12","192,708.80","2,801.00","68.80","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AP.UN","ALLIED PROPERTIES REAL ESTATE INVT","Real Estate","Equity","150,650.81","0.10","150,650.81","19,339.00","7.79","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PBH","PREMIUM BRANDS HOLDINGS","Consumer Staples","Equity","109,512.96","0.07","109,512.96","1,444.00","75.84","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"USD","USD CASH","Cash and/or Derivatives","Cash","56,457.00","0.04","56,457.00","40,365.00","139.86","United States","-","CAD","0.71","USD"
"RBCFT","CASH COLLATERAL CAD RBCFT","Cash and/or Derivatives","Cash Collateral and Margins","23,000.00","0.01","23,000.00","23,000.00","100.00","Canada","-","CAD","1.00","CAD"
"2299955D","CONSTELLATION SOFTWARE INC","Information Technology","Equity","0.00","0.00","0.00","100.00","0.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MPTZ6","MINI S&P/TSE 60 INDEX DEC 26","Cash and/or Derivatives","Futures","0.00","0.00","422,720.00","4.00","2,113.60","-","The Montreal Exchange / Bourse De Montreal","CAD","1.00","CAD"
 
