Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"055550","SHINHAN FINANCIAL GROUP","Financials","Equity","511,207.88","0.35","511,207.88","1,068,153.00","-","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"INFY","INFOSYS","Information Technology","Equity","502,779.53","0.34","502,779.53","7,807,127.00","-","India","National Stock Exchange Of India","CAD","-","INR"
"2882","CATHAY FINANCIAL HOLDING","Financials","Equity","500,442.38","0.34","500,442.38","24,409,379.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"NPN","NASPERS LIMITED CLASS N","Consumer Discretionary","Equity","494,964.68","0.34","494,964.68","1,924,945.00","-","South Africa","Johannesburg Stock Exchange","CAD","-","ZAR"
"3017","ASIA VITAL COMPONENTS","Information Technology","Equity","482,753.07","0.33","482,753.07","828,000.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"OTP","OTP BANK","Financials","Equity","481,438.42","0.33","481,438.42","555,864.00","-","Hungary","Budapest Stock Exchange","CAD","-","HUF"
"1180","THE SAUDI NATIONAL BANK","Financials","Equity","467,882.95","0.32","467,882.95","7,498,656.00","-","Saudi Arabia","Saudi Stock Exchange","CAD","-","SAR"
"2887","TS FINANCIAL HOLDING","Financials","Equity","467,620.02","0.32","467,620.02","57,991,907.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"2382","QUANTA COMPUTER","Information Technology","Equity","464,596.33","0.32","464,596.33","7,378,000.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"FSR","FIRSTRAND LTD","Financials","Equity","443,401.29","0.30","443,401.29","13,104,777.00","-","South Africa","Johannesburg Stock Exchange","CAD","-","ZAR"
"2345","ACCTON TECHNOLOGY","Information Technology","Equity","432,971.76","0.30","432,971.76","1,314,000.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"KFH","KUWAIT FINANCE HOUSE","Financials","Equity","424,879.37","0.29","424,879.37","29,157,527.00","-","Kuwait","Kuwait Stock Exchange","CAD","-","KWD"
"M&M","MAHINDRA AND MAHINDRA LTD","Consumer Discretionary","Equity","419,241.00","0.29","419,241.00","2,240,037.00","-","India","National Stock Exchange Of India","CAD","-","INR"
"AXISBANK","AXIS BANK","Financials","Equity","418,393.78","0.29","418,393.78","5,546,389.00","-","India","National Stock Exchange Of India","CAD","-","INR"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Financials","Equity","414,698.16","0.28","414,698.16","2,245,336.00","-","Poland","Warsaw Stock Exchange/Equities/Main Market","CAD","-","PLN"
"034020","DOOSAN ENERBILITY LTD","Industrials","Equity","414,347.59","0.28","414,347.59","1,148,588.00","-","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","409,059.79","0.28","409,059.79","6,144,061.00","-","Mexico","Bolsa Mexicana De Valores","CAD","-","MXN"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","403,698.95","0.28","403,698.95","1,729,834.00","-","India","National Stock Exchange Of India","CAD","-","INR"
"086790","HANA FINANCIAL GROUP","Financials","Equity","401,726.98","0.27","401,726.98","691,666.00","-","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"012450","HANWHA AEROSPACE LTD","Industrials","Equity","396,906.60","0.27","396,906.60","85,654.00","-","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","396,760.53","0.27","396,760.53","6,425,697.00","-","India","National Stock Exchange Of India","CAD","-","INR"
"2327","YAGEO","Information Technology","Equity","387,426.54","0.27","387,426.54","4,000,840.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"BAP","CREDICORP LTD","Financials","Equity","387,236.64","0.27","387,236.64","172,801.00","-","Peru","New York Stock Exchange Inc.","CAD","-","USD"
"SBK","STANDARD BANK GROUP","Financials","Equity","375,492.46","0.26","375,492.46","3,359,748.00","-","South Africa","Johannesburg Stock Exchange","CAD","-","ZAR"
"FAB","FIRST ABU DHABI BANK","Financials","Equity","361,133.59","0.25","361,133.59","11,340,381.00","-","United Arab Emirates","Abu Dhabi Securities Exchange","CAD","-","AED"
"CPI","CAPITEC SHS","Financials","Equity","359,818.94","0.25","359,818.94","223,465.00","-","South Africa","Johannesburg Stock Exchange","CAD","-","ZAR"
"NBK","NATIONAL BANK OF KUWAIT","Financials","Equity","358,285.19","0.25","358,285.19","22,169,195.00","-","Kuwait","Kuwait Stock Exchange","CAD","-","KWD"
"VAL","VALTERRA PLATINUM LTD","Materials","Equity","356,269.40","0.24","356,269.40","677,775.00","-","South Africa","Johannesburg Stock Exchange","CAD","-","ZAR"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","354,151.35","0.24","354,151.35","13,977,165.00","-","India","National Stock Exchange Of India","CAD","-","INR"
"2360","CHROMA ATE INC","Information Technology","Equity","352,661.42","0.24","352,661.42","924,000.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","352,413.10","0.24","352,413.10","154,783.00","-","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"PKN","ORLEN","Energy","Equity","349,447.84","0.24","349,447.84","1,475,805.00","-","Poland","Warsaw Stock Exchange/Equities/Main Market","CAD","-","PLN"
"2885","YUANTA FINANCIAL HOLDING","Financials","Equity","348,250.05","0.24","348,250.05","27,571,441.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"7010","SAUDI TELECOM","Communication","Equity","347,987.12","0.24","347,987.12","5,132,382.00","-","Saudi Arabia","Saudi Stock Exchange","CAD","-","SAR"
"DELTA.R","DELTA ELECTRONICS (THAILAND) NON-V","Information Technology","Equity","336,140.69","0.23","336,140.69","8,008,200.00","-","Thailand","Stock Exchange Of Thailand","CAD","-","THB"
"2884","E.SUN FINANCIAL HOLDING","Financials","Equity","334,709.18","0.23","334,709.18","38,655,995.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"2059","KING SLIDE WORKS","Information Technology","Equity","328,603.38","0.22","328,603.38","146,000.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"MTN","MTN GROUP","Communication","Equity","315,953.55","0.22","315,953.55","4,445,954.00","-","South Africa","Johannesburg Stock Exchange","CAD","-","ZAR"
"028260","SAMSUNG C&T CORP","Industrials","Equity","314,332.15","0.22","314,332.15","209,321.00","-","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"EAND","EMIRATES TELECOM","Communication","Equity","311,527.57","0.21","311,527.57","8,927,620.00","-","United Arab Emirates","Abu Dhabi Securities Exchange","CAD","-","AED"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","308,503.88","0.21","308,503.88","52,859,292.00","-","United States","-","CAD","-","USD"
"000270","KIA CORPORATION","Consumer Discretionary","Equity","304,881.30","0.21","304,881.30","596,981.00","-","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"035420","NAVER","Communication","Equity","303,318.33","0.21","303,318.33","360,829.00","-","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"6669","WIWYNN CORPORATION","Information Technology","Equity","303,099.22","0.21","303,099.22","775,526.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","300,703.64","0.21","300,703.64","4,288,894.00","-","Mexico","Bolsa Mexicana De Valores","CAD","-","MXN"
"2357","ASUSTEK COMPUTER INC","Information Technology","Equity","300,572.18","0.21","300,572.18","1,732,000.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"EMAAR","EMAAR PROPERTIES","Real Estate","Equity","299,067.64","0.20","299,067.64","15,949,903.00","-","United Arab Emirates","Dubai Financial Market","CAD","-","AED"
"2408","NANYA TECHNOLOGY CORP","Information Technology","Equity","296,306.88","0.20","296,306.88","3,317,000.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"BBDC4","BANCO BRADESCO PREF","Financials","Equity","295,488.87","0.20","295,488.87","14,385,441.00","-","Brazil","XBSP","CAD","-","BRL"
"068270","CELLTRION","Health Care","Equity","295,459.66","0.20","295,459.66","387,931.00","-","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"QNBK","QATAR NATIONAL BANK","Financials","Equity","295,050.66","0.20","295,050.66","11,362,077.00","-","Qatar","Qatar Exchange","CAD","-","QAR"
"1211","SAUDI ARABIAN MINING","Materials","Equity","292,771.94","0.20","292,771.94","3,039,347.00","-","Saudi Arabia","Saudi Stock Exchange","CAD","-","SAR"
"2883","KGI FINANCIAL HOLDING","Financials","Equity","286,622.31","0.20","286,622.31","39,489,785.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
